형태소,품사,음원순위,카운트
"
",Foreign,음원순위,2
!,Punctuation,음원순위,281
!),Punctuation,음원순위,31
"""",Punctuation,음원순위,7
&,Punctuation,음원순위,18
',Punctuation,음원순위,402
(,Punctuation,음원순위,424
),Punctuation,음원순위,369
)/,Punctuation,음원순위,4
*,Punctuation,음원순위,17
*(,Punctuation,음원순위,2
**,Punctuation,음원순위,5
*[,Punctuation,음원순위,1
",",Punctuation,음원순위,300
",,",Punctuation,음원순위,1
-,Punctuation,음원순위,276
-),Punctuation,음원순위,1
--,Punctuation,음원순위,6
----,Punctuation,음원순위,2
-----,Punctuation,음원순위,1
.,Punctuation,음원순위,150
.(,Punctuation,음원순위,1
.),Punctuation,음원순위,14
..,Punctuation,음원순위,6
..),Punctuation,음원순위,1
...,Punctuation,음원순위,3
....,Punctuation,음원순위,1
/,Punctuation,음원순위,3
1,Number,음원순위,28
1.2,Number,음원순위,1
100000,Number,음원순위,1
119,Number,음원순위,1
12시,Number,음원순위,2
1:40,Number,음원순위,1
1년,Number,음원순위,2
2,Number,음원순위,49
2008,Number,음원순위,1
2011,Number,음원순위,1
21,Number,음원순위,1
24,Number,음원순위,1
24/7,Number,음원순위,4
24시간,Number,음원순위,1
3,Number,음원순위,9
3.4,Number,음원순위,1
30분,Number,음원순위,1
365,Number,음원순위,2
3분,Number,음원순위,1
3시,Number,음원순위,1
4,Number,음원순위,20
5,Number,음원순위,2
50,Number,음원순위,1
5분,Number,음원순위,1
6,Number,음원순위,1
7,Number,음원순위,1
70억,Number,음원순위,3
88,Number,음원순위,1
8월,Number,음원순위,1
<,Punctuation,음원순위,3
>,Punctuation,음원순위,3
?,Punctuation,음원순위,111
?),Punctuation,음원순위,6
A,Alpha,음원순위,73
AHH,Alpha,음원순위,7
ALRIGHT,Alpha,음원순위,1
AND,Alpha,음원순위,1
AYE,Alpha,음원순위,3
Ah,Alpha,음원순위,90
Aha,Alpha,음원순위,1
Ahh,Alpha,음원순위,12
Ain,Alpha,음원순위,2
All,Alpha,음원순위,23
Alone,Alpha,음원순위,1
Alright,Alpha,음원순위,18
Always,Alpha,음원순위,1
And,Alpha,음원순위,26
Angel,Alpha,음원순위,1
Anpan,Alpha,음원순위,5
Anpanman,Alpha,음원순위,18
Are,Alpha,음원순위,1
As,Alpha,음원순위,1
Athena,Alpha,음원순위,1
Away,Alpha,음원순위,7
Aye,Alpha,음원순위,1
Ayo,Alpha,음원순위,3
Ayy,Alpha,음원순위,1
B,Alpha,음원순위,33
BABE,Alpha,음원순위,10
BABY,Alpha,음원순위,26
BACK,Alpha,음원순위,3
BANG,Alpha,음원순위,24
BB,Alpha,음원순위,2
BEEN,Alpha,음원순위,1
BETTER,Alpha,음원순위,2
BLACKPINK,Alpha,음원순위,3
BODY,Alpha,음원순위,2
BOOM,Alpha,음원순위,5
BOOMSHAKALAKA,Alpha,음원순위,12
BRING,Alpha,음원순위,1
BYE,Alpha,음원순위,1
Ba,Alpha,음원순위,11
Babe,Alpha,음원순위,1
Baby,Alpha,음원순위,91
Back,Alpha,음원순위,6
Bacon,Alpha,음원순위,1
Bad,Alpha,음원순위,10
Bae,Alpha,음원순위,4
Bam,Alpha,음원순위,2
Bang,Alpha,음원순위,5
Batman,Alpha,음원순위,1
Be,Alpha,음원순위,16
Beat,Alpha,음원순위,13
Beautiful,Alpha,음원순위,1
Because,Alpha,음원순위,3
Before,Alpha,음원순위,2
Bet,Alpha,음원순위,2
Better,Alpha,음원순위,2
Beyonce,Alpha,음원순위,1
Big,Alpha,음원순위,4
BigBang,Alpha,음원순위,1
Biggest,Alpha,음원순위,1
Billie,Alpha,음원순위,1
Billion,Alpha,음원순위,1
Birthday,Alpha,음원순위,1
Bla,Alpha,음원순위,3
Black,Alpha,음원순위,2
Blacken,Alpha,음원순위,1
Blow,Alpha,음원순위,9
Body,Alpha,음원순위,4
Bonnie,Alpha,음원순위,1
Boo,Alpha,음원순위,28
Bop,Alpha,음원순위,5
Bow,Alpha,음원순위,8
Boy,Alpha,음원순위,19
Boys,Alpha,음원순위,1
Brand,Alpha,음원순위,3
Break,Alpha,음원순위,1
Brew,Alpha,음원순위,1
Bridge,Alpha,음원순위,1
Bring,Alpha,음원순위,20
Burn,Alpha,음원순위,2
Bust,Alpha,음원순위,1
But,Alpha,음원순위,40
Bye,Alpha,음원순위,1
C,Alpha,음원순위,1
CAN,Alpha,음원순위,3
CATCH,Alpha,음원순위,1
CHAMPAGNE,Alpha,음원순위,1
CHEER,Alpha,음원순위,10
CHIC,Alpha,음원순위,1
CL,Alpha,음원순위,18
COME,Alpha,음원순위,2
COMING,Alpha,음원순위,1
Caffeine,Alpha,음원순위,1
Cake,Alpha,음원순위,5
Calder,Alpha,음원순위,1
Call,Alpha,음원순위,41
Can,Alpha,음원순위,22
Cash,Alpha,음원순위,9
Cause,Alpha,음원순위,18
Champion,Alpha,음원순위,2
Chance,Alpha,음원순위,3
Check,Alpha,음원순위,2
Chocolate,Alpha,음원순위,1
Chorus,Alpha,음원순위,6
Circle,Alpha,음원순위,1
Climax,Alpha,음원순위,1
Clock,Alpha,음원순위,5
Clyde,Alpha,음원순위,1
Coffee,Alpha,음원순위,1
Come,Alpha,음원순위,41
Cool,Alpha,음원순위,3
Cos,Alpha,음원순위,5
Cosmic,Alpha,음원순위,1
Crazy,Alpha,음원순위,5
Cream,Alpha,음원순위,12
Creepin,Alpha,음원순위,1
Creeping,Alpha,음원순위,3
Cup,Alpha,음원순위,1
Cuz,Alpha,음원순위,7
D,Alpha,음원순위,1
DADI,Alpha,음원순위,1
DAN,Alpha,음원순위,40
DANCE,Alpha,음원순위,16
DANGEROUS,Alpha,음원순위,1
DIG,Alpha,음원순위,1
DJ,Alpha,음원순위,3
DNA,Alpha,음원순위,5
DOG,Alpha,음원순위,1
DON,Alpha,음원순위,2
DOWN,Alpha,음원순위,2
Da,Alpha,음원순위,1
Dance,Alpha,음원순위,11
Dancing,Alpha,음원순위,3
Day,Alpha,음원순위,1
Deeper,Alpha,음원순위,1
Depp,Alpha,음원순위,1
Destiny,Alpha,음원순위,1
Devil,Alpha,음원순위,10
