분류	가수	앨범	제목	발매년도	작사가	가사
음원순위	동방신기	The Way U Are	The Way U Are	2004.06.24	태훈, Various Artists, Various Artists	첫눈에 반하기는 힘들어 널 보기전엔 믿었었지 생각이 바뀌는 건 참 쉬운 걸 난 어리석게 혼자였지 애 쓴다고 될 일은 아닌걸 자연스레 가고 싶어 내 눈물 속에 있는 환상 안에서만 바라던 네 진심 속에 있는 사랑을 피워 주게 할래 그 너의 생각 너의 관심 네 귀에 달려 있던 귀걸이 네 몸무게 너 만의 향기 너의 몸짓 모든걸 알고 싶어 이런 내게 It′s about the way you are 모두가 외로움을 말하지 널 원하던 날을 건너 머리를 비울 수가 있다던지 하는 건 이제 관심 없어 내 눈물 속에 있는 환상 안에서만 바라던 네 진심 속에 있는 사랑을 피워 주게 할래 그 너의 생각 너의 관심 네 귀에 달려 있던 귀걸이 네 몸무게 너 만의 향기 너의 몸짓 모든걸 알고 싶어 이런 내게 It′s about the way you are 싫다고는 하지마 네가 느낀 대로야 돌이킬수 없잖아 It′s about the way you are 싫다고는 하지마 네가 느낀 대로야 돌이킬수 없잖아 It′s about the way you are 그 너의 생각 너의 관심 네 귀에 달려 있던 귀걸이 네 몸무게 너 만의 향기 너의 몸짓 모든걸 알고 싶어 이런 내게 It′s about the way you are 그 너의 생각 너의 관심 네 귀에 달려 있던 귀걸이 네 몸무게 너 만의 향기 너의 몸짓 모든걸 알고 싶어 이런 내게 It′s about the way you are
음원순위	동방신기	Hug	Hug (포옹)	2003.12.31.	박창현, 윤정	하루만 니방의 침대가 되고 싶어 더 따스히 포근히 내 품에 감싸 안고 재우고 싶어 아주 작은 뒤척임도 너의 조그만 속삭임에 난 꿈속의 괴물도 이겨내 버릴 텐데 내가 없는 너의 하룬 어떻게 흘러가는 건지 나를 얼마나 사랑하는지 난 너무나 궁금한데 너의 작은 서랍 속의 일기장이 되고 싶어 알 수 없는 너의 그 비밀도 내 맘속에 담아둘래 너 몰래 하루만 너의 고양이가 되고 싶어 니가 주는 맛있는 우유와 부드러운 니품안에서 움직이는 장난에도 너의 귀여운 입맞춤에 나도 몰래 질투를 느끼고 있었나 봐 내 마음이 이런 거야 너 밖엔 볼수 없는거지 누구를 봐도 어디 있어도 난 너만 바라보잖아 단 하루만 아주 친한 너의 애인이 되고 싶어 너의 자랑도 때론 투정도 다 들을수 있을 텐데 널 위해 In my heart in my soul 나에게 사랑이란 아직 어색하지만 uh uh baby 이 세상 모든걸 너에게 주고 싶어 꿈에서라도 내 마음이 이런 거야 지켜 볼 수만 있어도 너무 감사해 많이 행복해 나 조금은 부족해도 언제까지 너의 곁에 연인으로 있고 싶어 너를 내 품에 가득 안은 채 굳어버렸으면 싶어 영원히
음원순위	동방신기	Hug	My little princess (있잖아요...)	2003.12.31.	배화영	사랑이겠죠 이런 내 마음은 숨기려 해도 금새 입가엔 미소만 하루도 안돼 또 보고싶어져 어쩌죠 내 맘은 깊은 병에 걸린걸 게으른 내 모습 이젠 없을 거예요 좋은 것만 보여주고 싶은걸요 저기 높은 하늘로 날아가 사랑한다고 세상에 말할래 깊은 밤하늘에 꺼지지 않는 Girl 너만을 지키는 빛나는 별이 될게요 You’re my love 헤어지잔 말 행복하란 그 말 영원히 우리 절대 하지 않기로해 지금처럼만 내 곁에 있어줘 부족한 나인걸 이해해주길 바래 어른스런 내 모습을 기대해줘요 네게 가장 어울리는 남자가 되고 싶은걸 언제까지나 그대 맘속에 내가 들어갈 수 있도록 허락해줘 만일 그대도 나와 같다면 아픔은 없죠 이젠 그댈 나 지킬게 for you My little princess 이제껏 숨겨온 나만의 사랑 늘 보여줄꺼야 영원토록 변치 않는 맘으로 girl 내 자신보다 더 더 사랑해줄 거라고 You’re my love 약속할께 
음원순위	동방신기	TRI-ANGLE	믿어요	2004.10.11	박창현	[믹키] Girl, Let me prove that my love is real I'll give all my love to you, Please Trust me [시아] 믿어요 첫눈에 반한다는 말을 믿어요 그대에겐 아니라고 말했지만 나를 경솔하게 바라볼까봐 감춰왔을 뿐이죠 [최강] 사실 난 그대를 처음 봤던 그 순간부터 온종일 그대 생각에 살았었죠 아침에 눈뜨고 잠들 때까지 한 생각뿐이었죠 *[All] I believe in you 그댈 바라보는 이 시선 가득 내가 갖고 있는 그댈 향한 마음 모두 담아 보내리 너무 쉽게 들키고 싶지 않은 내 마음 알고 있나요 그대 나를 훌쩍 떠나버릴 것만 같은 두려움까지 [영웅] 그대 [믹키] 사랑은 가슴이 메일 듯한 설레임처럼 그렇게 숨 막히는 그리움처럼 [유노] 항상 변함없는 시선을 줘요 언제나 지금처럼 [시아] 조금만 내가 마음을 놓을 수 있을 만큼만 그대를 바라볼 수 있을 만큼만 나의 가까이에 머무른다면 한없이 기쁘겠죠 I believe in you 그댈 바라보는 이 시선 가득 내가 갖고 있는 그댈 향한 마음 모두 담아 보내리 너무 쉽게 들키고 싶지 않은 내 마음 알고 있나요 그대 나를 훌쩍 떠나버릴 것만 같은 두려움까지 [시아] 그대 [영웅] 이렇게 그대 곁에 있는 다면 결국엔 아무것도 모른다면 얼마나 내가 그댈 사랑했는지 *I believe in you 그댈 바라보는 이 시선 가득 내가 갖고 있는 그댈 향한 마음 모두 담아 보내리 너무 쉽게 들키고 싶지 않은 내 마음 알고 있나요 그대 나를 훌쩍 떠나버릴 것만 같은 두려움까지 [믹키] I can't let you go You are the only one in my life
음원순위	동방신기	2005 Summer Single 'Hi Ya Ya 여름날'	Hi Ya Ya 여름날	2005.06.23	배화영	Beautiful ocean bright Just You and I In your eyes I can feel heavenly paradise dont be afraid of waht you feel inside Thats OK You dont have to cry yourself Ill give you word Only one love You know no one can make ond happy as the way you do. baby thats the true love (my love) As always Im here Baby This is our world 눈부신 태양아래 그대와 단둘이서 (둘이서) 작은 배낭을 메고 함께 길을 떠나요 (떠나요) 달리는 창 밖으론 펼쳐진 푸른바다 (내곁에) 내곁엔 어느새 잠든 천사를 닮은 너 Dancing in summer paradise 사랑해 hi ya ya ya 여름날 우리 추억을 평생 간직해 표현이 서툴고 어색할지 몰라도 널 사랑해 forever come with me 하얀 백사장 위로 걸어오는 너 (오는너) 너무나 눈부신 모습 바로 볼수가 없어 (그대와) 시원한 바람 맞으며 단둘이 거닐 땐 (See my smile) 기쁘게 뛰는 내 마음 들릴까 걱정돼 till the end of time Dancing in summer paradise 사랑해 hi ya ya ya 여름날 우리 추억을 평생 간직해 표현이 서툴고 어색할지 몰라도 널 사랑해 forever come with me 십년이 지나도 이 모습 이대로 변함없이 그대 항상 내곁에 있었음 정말 좋겠어 till the end of time Always be happy together 사랑해 Hi Ya Ya Ya 끝없이 펼쳐진 하늘 우릴 축복해 Dancing in summer paradise 사랑해 hi ya ya ya 여름날 우리 추억을 평생 간직해 표현이 서툴고 어색할지 몰라도 널 사랑해 forever come with me
음원순위	슈퍼주니어	U(유)	U	2006.06.07	태훈	Cause I can’t stop Know I can stop 너를 첨 보게 되었어 널 원하지않고 견딜수가 있을까 그렇게 쳐다보지마 너와의 game을 아직 시작 안했어 나에게서 타로점을 봐 너의 이상형 찾아봐줄테니 그 남자가 내가 되게 해줄테니 Cause I can’t stop thinking about a girl 널 내꺼로 만들거야 Know I can’t stop thinking about a girl 내 우리안에 가두고싶어 뽀얗던 우유빛 피부 긴머리끝에 남아있는 향기와 나지막한 목소리로 날 공격하니 날 이길순 없어 너에게 보여준 Magic 빨간 장미속에 숨겨둔 반지를 줄게 그 주인이 니가 되게 해줄테니 Cause I can’t stop thinking about a girl 너와 함께 있고싶어 Know I can’t stop thinking about a girl 날 여기두고 가버리지마 Cause I can’t stop thinking about a girl 널 내꺼로 만들거야 Know I can’t stop thinking about a girl 내 우리안에 가두고싶어 너의 낯선 향기에서 추억을 떠올려 바라보는 그대 눈빛이 내 심장을 울려 지우려 해도 소용없이 끝도없이 너를 향해 달려 내가 그대를 갖겠어 너를 갖기 위해서 모든걸 다걸고 전부 잃게된다 해도 이미 게임은 시작됐는걸 잘 알아둬 이제 너의남자는 바로나란걸 날 원하고 안달하게 만들테니 Cause I can’t stop thinking about a girl 너와함께 있고싶어 Know I can’t stop thnking about a girl 날 여기두고 가버리지마 Cause I can’t stop thinking about a girl 널 내꺼로 만들거야 Know I can’t stop thinking about a girl 내 우리안에 가두고싶어 Cause I can’t stop Know I can’t stop Cause I can’t stop
음원순위	빅뱅	BigBang 1st Mini Album - Always	거짓말	2007.08.16.	G-DRAGON	여보세요...여보세요? 하아... ye (love is pain) to all my brokenhearted-people (come again) one`s old a flame,, scream my name and i`m so sick of love songs. ye i hate damn love song.. memento of ours.. 거짓말 늦은밤 비가 내려와 널 데려와 젖은 기억 끝에 뒤척여 나 너 없이 잘 살수 있다고 다짐해봐도 어쩔수 없다고 못하는 술도 마시고 속타는 맘 밤새 채워봐도 싫어 너 없는 하루는 길어 빌어 제발 잊게 해달라고 너 없는 내겐 웃음이 보이지 않아 눈물조차 고이지 않아 더는 살고 싶지 않아 ye 엿같애 열받게 니 생각에 돌아버릴것 같애 보고 싶은데 볼수가 없데 모두 끝났대 I'll be right there I'm so sorry but I love you 다 거짓말 이야 몰랐어 이제야 알았어 니가 필요해 I'm so sorry but I love you 날카로운 말 홧김에 나도 모르게 널 떠나보냈지만 I'm so sorry but I love you 다 거짓말 I'm so sorry(sorry) but I love you(iloveyou more more) I'm so sorry but I love you 나를 떠나 천천히 잊어줄~래 내가 아파할수 있게 그댈 위해서 불러왔던 내 모든걸 다 바친 노래(노래) 사람들은 모르겠죠 난 혼자 그 아무 도 아무도 몰래 그래 내가 했던 말은 거짓말 홀로 남겨진 외톨이 그속에 헤메는 내 꼴이 주머니속에 꼬깃 꼬깃 접어둔 이별을 향한 쪽지 넌 어딨나요 널 부르는 습관도 난 달라질래 이젠 다 웃어넘길게 I'm so sorry but I love you 다 거짓말 이야 몰랐어 이제야 알았어 니가 필요해 I'm so sorry but I love you 날카로운 말 홧김에 나도 모르게 널 떠나보냈지만 I'm so sorry but I love you 다 거짓말 I'm so sorry(sorry) but I love you(iloveyou more more) I'm so sorry but I love you 나를 떠나 천천히 잊어줄~래 내가 아파할수 있게 oh oh ohoh.. (모든게 꿈이길) oh oh ohoh.. 이것밖에 안되는 나~라서 drop the beat 아직도 너를 못 잊~어 아니 평생을 가도 죽어서까지도 ye 내가 준 상처 아물었는지 미안해 아무것도 해준게 없는 나라서 I'm so sorry but I love you 다 거짓말 이야 몰랐어 이제야 알았어 니가 필요해 I'm so sorry but I love you 날카로운 말 홧김에 나도 모르게 널 떠나보냈지만 I'm so sorry but I love you 다 거짓말 I'm so sorry(sorry) but I love you(iloveyou more more) I'm so sorry but I love you 나를 떠나 천천히 잊어줄~래 내가 아파할수 있게 (bye bye)
음원순위	원더걸스	The Wonder Begins	Irony (아이러니)	2007.02.13	박진영	자꾸 처음이란 말을 너무 많이해 이런 감정은 첨이라며 말을 하는게 이상해 난 다른 여자들과 다르다는게 좀 수상해 내가 아는 애만 해도 몇 명인데 그 여자들은 아무 의미도 없다는게 이상해 그동안 사귀었던 여잔 뭐였는데 말이 도무지 안되잖아 남잔 다 믿어서는 안된다고 하면서 너만 다르다고 말하는 건 뭐야 Irony 말도 안 돼 Irony 말도 안 돼 Irony 말도 안 돼 말도 안 되는 말 정말 여잔 다 가지고 놀기만 했었다면서 나만 다르게 생각한단 건 뭐야 Irony 말도 안 돼 Irony 말도 안 돼 Irony 말도 안 돼 말도 안 되는 말 정말 다른 남자 애들 안 좋은 얘기를 자꾸 내게 자세히 말해 주는게 너무 이상해 니 친구들 안 좋은 얘길 왜 내게 계속 말해 너만 안 그렇단 말이 좀 이상해 니 친구들 모두 너와 함께 다니잖아 말이 돼 친구들 모두 다 그러고 있는데 너만 안그러고 있는게 남잔 다 믿어서는 안된다고 하면서 너만 다르다고 말하는 건 뭐야 Irony 말도 안 돼 Irony 말도 안 돼 Irony 말도 안 돼 말도 안 되는 말 정말 여잔 다 가지고 놀기만 했었다면서 나만 다르게 생각한단 건 뭐야 Irony 말도 안 돼 Irony 말도 안 돼 Irony 말도 안 돼 말도 안 되는 말 정말 <간주> 너무 진실한 것처럼 말이지 너무 그러니까 이상한거지 말을 곧이 곧대로 듣지 못하고 자꾸 의심하게 돼 믿지 못하고 잠시 생각해보면 니가 뭣하러 그렇게까지 나에게 환심을 사려 할까 싶어서 믿어보려고도 해봤어 하지만 수상해 아무래도 안되겠어 남잔 다 믿어서는 안된다고 하면서 너만 다르다고 말하는 건 뭐야 Irony 말도 안 돼 그건 Irony 말도 안 돼 그건 Irony 말도 안 돼 말도 안 되는 말 정말 여잔 다 가지고 놀기만 했었다면서 나만 다르게 생각한단 건 뭐야 Irony 말도 안 돼 Irony 말도 안 돼 Irony 말도 안 돼 말도 안 되는 말 정말
음원순위	원더걸스	The Wonder Years	Tell Me	2007.09.12	박진영	너도 날 좋아할 줄은 몰랐어 어쩌면 좋아 너무나 좋아 꿈만 같아서 나 내 자신을 자꾸 꼬집어 봐 너무나 좋아 니가 날 혹시 안 좋아할까봐 혼자 얼마나 애 태운지 몰라 그런데 니가 날 사랑한다니 어머나, 다시 한 번 말해봐 ** Tell me tell me tell tell tell tell tell tell me 나를 사랑한다고 날 기다려 왔다고 Tell me tell me tell tell tell tell tell tell me 내가 필요하다 말해, 말해줘요 Tell me tell me tell tell tell tell tell tell me 자꾸만 듣고 싶어 계속 내게 말해줘 Tell me tell me tell tell tell tell tell tell me 꿈이 아니라고 말해, 말해줘요 ** 어쩜 내 가슴이 이렇게 뛰니 가슴이 정말 터질 것 같아 니가 날 볼 때면 전기에 감전된 사람처럼 전기가 올라 얼마나 오래 기다린지 몰라 얼마나 오래 꿈 꿨는지 몰라 그런데 니가 날 사랑한다니 어머나, 다시 한 번 말해봐 Tell me tell me tell tell tell tell tell tell me 나를 사랑한다고 날 기다려 왔다고 Tell me tell me tell tell tell tell tell tell me 내가 필요하다 말해, 말해줘요 Tell me tell me tell tell tell tell tell tell me 자꾸만 듣고 싶어 계속 내게 말해줘 Tell me tell me tell tell tell tell tell tell me 꿈이 아니라고 말해, 말해줘요 Tell me tell me tell me you Want me want me want me too Tell me tell me tell me you Love me too Love me too 얼마나 오래 기다린지 몰라 얼마나 오래 꿈 꿨는지 몰라 그런데 니가 날 사랑한다니 어머나, 다시 한 번 말해봐 Tell me tell me tell tell tell tell tell tell me 나를 사랑한다고 날 기다려 왔다고 Tell me tell me tell tell tell tell tell tell me 내가 필요하다 말해, 말해줘요 Tell me tell me tell tell tell tell tell tell me 자꾸만 듣고 싶어 계속 내게 말해줘 Tell me tell me tell tell tell tell tell tell me 꿈이 아니라고 말해, 말해줘요t Tell me tell me tell tell tell tell tell tell me tell tell tell tell tell tell me Tell me
음원순위	빅뱅	Bigbang Vol.1	Dirty Cash	2006.12.22.	072, G-DRAGON	눈뜨면 뭐가 돈 될까 머리 또 굴리지 Dirty Cash에 배부른 니 주머니 제발 좀 작작해 독 같은 Dirty Money 부모형제와 친구마저도 버린 거니 학교에선 하얀 마음대신 하얀 봉투들이 사랑이고 (독 같은 Dirty Money) 사과 하나 없는 사과 상자 속엔 비열한 자들의 욕심이 가득해 내 숨을 막는 Dirty Cash 없으면 없는 대로 행복하게 살자 미친 소릴까? 내 꿈을 막는 Dirty Cash 행복의 기준마저 돈이 되는 세상 내 꿈은 얼마 (독같은 Dirty Money) 도심에 깔린 바다 속엔 고기 없고 넘치는 소리바다 속엔 양심 없소 한탕주의와 거저먹는 것이 만연한 이 사회가 과연 내 나라가 맞나 예쁜 교복을 가방에 넣고 밤거리로 찾아 헤매는 너 (독 같은 Dirty Money) 부모 제사상 앞에 싸움판이네 부모형제보다 돈이 더 중요해 내 숨을 막는 Dirty Cash 없으면 없는 대로 행복하게 살자 미친 소릴까? 내 꿈을 막는 Dirty Cash 행복의 기준마저 돈이 되는 세상 내 꿈은 얼마 모두들 예예예 도대체 이게 뭐니 (독 같은 세상에서 깨어나 어서) 모두들 예예예 독같은 Dirty Money (니 꿈을 이뤄 Let’s go) 돈 놓고 돈 먹고 머리 쓰다 욕먹고 더러운 돈 때문에 이 사회가 썩고 어른 아이 할 것 없이 다 꿈을 팔고 이 세상은 돼지들의 보물창고 너의 꿈이 이렇게 변할 수 있어? 백원 하나에 기뻐하던 난 어디 있어? 돈이 나를 바꿔 너와 우릴 바꿔? 미친 세상! 너무나 바뻐 Dirty (Dirty) Say Money (Money) No I don’t want you’re dirty cash 있어도 불행해 보이는 너완 달라 있으면 뭘 해 No I don’t need you’re dirty cash 평생을 돈의 노예처럼 살아봐야 잃은 건 넌데 내 숨을 막는 Dirty Cash 없으면 없는 대로 행복하게 살자 미친 소릴까 네 꿈을 막는 Dirty Cash 행복의 기준마저 돈이 되는 세상 내 꿈은 얼마 내 숨을 막는 Dirty Cash 없으면 없는 대로 행복하게 살자 미친 자들아 네 꿈을 막는 Dirty Cash 행복의 기준마저 돈이 되는 세상 내 꿈은 얼마
