형태소,품사,시대별,카운트
"
",Foreign,2016-2020,2
!,Punctuation,2003-2009,202
!,Punctuation,2010-2015,696
!,Punctuation,2016-2020,297
!!,Punctuation,2003-2009,12
!!,Punctuation,2010-2015,12
!!!,Punctuation,2010-2015,3
!!!!,Punctuation,2010-2015,3
!!!!!,Punctuation,2010-2015,1
"!""",Punctuation,2010-2015,1
"!""",Punctuation,2016-2020,2
!',Punctuation,2010-2015,1
!),Punctuation,2003-2009,31
!),Punctuation,2010-2015,158
!),Punctuation,2016-2020,55
!>,Punctuation,2010-2015,1
"""",Punctuation,2003-2009,12
"""",Punctuation,2010-2015,24
"""",Punctuation,2016-2020,7
$,Punctuation,2010-2015,2
"$,",Punctuation,2010-2015,1
$.,Punctuation,2010-2015,1
&,Punctuation,2003-2009,26
&,Punctuation,2010-2015,70
&,Punctuation,2016-2020,64
',Punctuation,2003-2009,380
',Punctuation,2010-2015,1351
',Punctuation,2016-2020,1496
'),Punctuation,2010-2015,2
(,Punctuation,2003-2009,742
(,Punctuation,2010-2015,1598
(,Punctuation,2016-2020,1328
(&),Punctuation,2010-2015,1
(**,Punctuation,2010-2015,3
([,Punctuation,2003-2009,15
),Punctuation,2003-2009,686
),Punctuation,2010-2015,1428
),Punctuation,2016-2020,1224
"),",Punctuation,2010-2015,1
"),",Punctuation,2016-2020,5
)/,Punctuation,2010-2015,4
)[,Punctuation,2003-2009,2
*,Punctuation,2003-2009,113
*,Punctuation,2010-2015,235
*,Punctuation,2016-2020,100
*(,Punctuation,2003-2009,4
*(,Punctuation,2010-2015,1
*(,Punctuation,2016-2020,1
**,Punctuation,2003-2009,36
**,Punctuation,2010-2015,82
**,Punctuation,2016-2020,46
**(,Punctuation,2003-2009,2
**(,Punctuation,2016-2020,1
***,Punctuation,2003-2009,5
***,Punctuation,2010-2015,4
***,Punctuation,2016-2020,8
***(,Punctuation,2010-2015,2
****,Punctuation,2016-2020,2
*******,Punctuation,2010-2015,1
*[,Punctuation,2003-2009,17
+,Punctuation,2003-2009,6
+,Punctuation,2016-2020,1
",",Punctuation,2003-2009,405
",",Punctuation,2010-2015,1991
",",Punctuation,2016-2020,1476
",([",Punctuation,2003-2009,1
",)",Punctuation,2003-2009,3
",,",Punctuation,2003-2009,4
-,Punctuation,2003-2009,95
-,Punctuation,2010-2015,483
-,Punctuation,2016-2020,997
-),Punctuation,2003-2009,1
-),Punctuation,2010-2015,3
-),Punctuation,2016-2020,7
--,Punctuation,2016-2020,6
----,Punctuation,2010-2015,2
-----,Punctuation,2003-2009,1
-----,Punctuation,2010-2015,1
.,Foreign,2010-2015,1
.,Punctuation,2003-2009,264
.,Punctuation,2010-2015,1106
.,Punctuation,2016-2020,102
.(,Punctuation,2010-2015,1
.),Punctuation,2003-2009,10
.),Punctuation,2010-2015,9
..,Punctuation,2003-2009,56
..,Punctuation,2010-2015,47
..,Punctuation,2016-2020,23
"..""",Punctuation,2016-2020,1
..',Punctuation,2010-2015,1
..),Punctuation,2003-2009,1
...,Punctuation,2003-2009,42
...,Punctuation,2010-2015,24
...,Punctuation,2016-2020,12
....,Punctuation,2003-2009,3
....,Punctuation,2010-2015,2
....,Punctuation,2016-2020,2
.....,Punctuation,2010-2015,3
...?!,Punctuation,2003-2009,1
..?,Punctuation,2003-2009,2
.?,Punctuation,2010-2015,1
/,Punctuation,2003-2009,11
/,Punctuation,2010-2015,3
