형태소,품사,남녀,카운트
"
",Foreign,여,2
!,Punctuation,남,744
!,Punctuation,여,451
!!,Punctuation,남,24
!!!,Punctuation,남,3
!!!!,Punctuation,남,3
!!!!!,Punctuation,남,1
"!""",Punctuation,남,3
!',Punctuation,남,1
!),Punctuation,남,179
!),Punctuation,여,65
!>,Punctuation,남,1
"""",Punctuation,남,19
"""",Punctuation,여,24
$,Punctuation,남,2
"$,",Punctuation,남,1
$.,Punctuation,남,1
&,Punctuation,남,104
&,Punctuation,여,56
',Punctuation,남,2090
',Punctuation,여,1137
'),Punctuation,남,2
(,Punctuation,남,2705
(,Punctuation,여,963
(&),Punctuation,여,1
(**,Punctuation,남,3
([,Punctuation,남,15
),Punctuation,남,2515
),Punctuation,여,823
"),",Punctuation,남,6
)/,Punctuation,여,4
)[,Punctuation,남,2
*,Punctuation,남,308
*,Punctuation,여,140
*(,Punctuation,남,6
**,Punctuation,남,114
**,Punctuation,여,50
**(,Punctuation,남,3
***,Punctuation,남,11
***,Punctuation,여,6
***(,Punctuation,남,2
****,Punctuation,남,2
*******,Punctuation,남,1
*[,Punctuation,남,17
+,Punctuation,남,7
",",Punctuation,남,2673
",",Punctuation,여,1199
",([",Punctuation,남,1
",)",Punctuation,남,3
",,",Punctuation,남,4
-,Punctuation,남,553
-,Punctuation,여,1022
-),Punctuation,남,4
-),Punctuation,여,7
--,Punctuation,여,6
----,Punctuation,여,2
-----,Punctuation,여,2
.,Foreign,남,1
.,Punctuation,남,1155
.,Punctuation,여,317
.(,Punctuation,여,1
.),Punctuation,남,3
.),Punctuation,여,16
..,Punctuation,남,104
..,Punctuation,여,22
"..""",Punctuation,남,1
..',Punctuation,남,1
..),Punctuation,여,1
...,Punctuation,남,62
...,Punctuation,여,16
....,Punctuation,남,5
....,Punctuation,여,2
.....,Punctuation,남,3
...?!,Punctuation,남,1
..?,Punctuation,남,1
..?,Punctuation,여,1
.?,Punctuation,남,1
/,Punctuation,남,10
/,Punctuation,여,4
0,Number,남,4
062-518,Number,남,1
1,Number,남,59
1,Number,여,69
1%,Number,남,1
1.2,Number,여,1
10,Number,남,5
10,Number,여,50
100,Number,남,3
100,Number,여,2
100%,Number,남,1
100%,Number,여,1
100000,Number,남,1
100일,Number,남,1
101,Number,남,1
10년,Number,남,3
10만원,Number,남,1
10분,Number,여,3
119,Number,남,5
11월,Number,남,4
12345,Number,여,4
12시,Number,남,2
12시,Number,여,1
12월,Number,남,1
12월,Number,여,4
13월,Number,남,7
14,Number,남,1
151,Number,남,2
16,Number,남,1
16,Number,여,3
17,Number,남,2
181,Number,남,1
19,Number,남,2
1:40,Number,여,1
1년,Number,남,16
1년,Number,여,3
1등,Number,남,3
1분,Number,남,5
1분,Number,여,2
1월,Number,남,1
1초,Number,남,5
1초,Number,여,1
2,Number,남,107
2,Number,여,103
2%,Number,여,1
2-2,Number,여,3
20,Number,남,6
2001,Number,남,1
2006,Number,남,1
2006년,Number,남,2
2007년,Number,남,1
2008,Number,남,1
2010,Number,여,1
2010년,Number,남,1
2011,Number,남,1
2015년,Number,여,1
21,Number,남,9
21,Number,여,2
22,Number,남,1
24,Number,남,4
24,Number,여,2
24/7,Number,남,20
24/7,Number,여,11
247,Number,남,10
248,Number,남,2
24시,Number,남,1
24시간,Number,남,4
24시간,Number,여,2
2년,Number,남,3
2분,Number,여,1
3,Number,남,33
3,Number,여,61
3-6,Number,남,13
3.4,Number,여,1
300,Number,남,1
30분,Number,여,1
34분,Number,여,1
365,Number,남,2
365,Number,여,4
3년,Number,남,2
3년,Number,여,1
3분,Number,남,2
3분,Number,여,1
3시,Number,여,1
4,Number,남,31
4,Number,여,37
400,Number,남,1
42.195,Number,남,1
4분,Number,남,2
4분,Number,여,2
4월,Number,남,1
4일,Number,남,1
5,Number,남,28
5,Number,여,17
50,Number,여,1
5분,Number,남,1
5일,Number,여,2
5천,Number,남,1
5천만,Number,남,1
6,Number,남,4
6,Number,여,16
6789,Number,여,4
6년,Number,남,2
6시,Number,남,2
6천,Number,남,1
7,Number,남,13
7,Number,여,7
70억,Number,남,3
75.5,Number,남,2
77억,Number,남,1
7년,Number,남,4
7시,Number,남,1
7천,Number,남,3
8,Number,남,4
8,Number,여,14
88,Number,여,1
8만,Number,남,1
8분,Number,여,1
8월,Number,남,1
9,Number,남,29
9,Number,여,14
90,Number,여,1
99,Number,남,1
9회,Number,남,3
:,Punctuation,남,131
:,Punctuation,여,9
<,Punctuation,남,7
<,Punctuation,여,5
=,Punctuation,남,4
=,Punctuation,여,1
>,Punctuation,남,26
>,Punctuation,여,5
?,Punctuation,남,567
?,Punctuation,여,343
?!,Punctuation,남,2
?!,Punctuation,여,1
"?""",Punctuation,남,1
"?""",Punctuation,여,3
?),Punctuation,남,31
?),Punctuation,여,24
?..,Punctuation,남,1
??,Punctuation,남,1
?’,Punctuation,남,1
A,Alpha,남,65
A,Alpha,여,119
ABC,Alpha,여,23
AHH,Alpha,여,8
AIRBAG,Alpha,남,1
ALL,Alpha,남,11
ALRIGHT,Alpha,남,1
AND,Alpha,남,2
AP,Alpha,남,2
AP,Alpha,여,1
ARMY,Alpha,남,2
AYE,Alpha,남,3
Aah,Alpha,남,2
Ability,Alpha,남,1
About,Alpha,남,3
About,Alpha,여,1
Ace,Alpha,남,2
Act,Alpha,여,2
Acting,Alpha,여,1
Action,Alpha,남,12
Action,Alpha,여,6
Addicted,Alpha,여,1
Adrenaline,Alpha,남,2
Afternoon,Alpha,여,14
Again,Alpha,여,3
Agust,Alpha,남,1
Ah,Alpha,남,124
Ah,Alpha,여,153
Aha,Alpha,남,1
Aha,Alpha,여,1
Ahh,Alpha,남,1
Ahh,Alpha,여,17
Ahhh,Alpha,남,1
Ahnana,Alpha,여,2
Ahora,Alpha,남,1
Ain,Alpha,남,5
Ain,Alpha,여,12
Air,Alpha,남,2
Akon,Alpha,여,1
Aladdin,Alpha,남,1
Alexander,Alpha,남,2
All,Alpha,남,223
All,Alpha,여,99
Alone,Alpha,여,1
Alright,Alpha,남,32
Alright,Alpha,여,26
Always,Alpha,남,12
Always,Alpha,여,5
Am,Alpha,남,11
