분류	가수	앨범	제목	발매년도	작사가	가사
PDOGG	방탄소년단	2 COOL 4 SKOOL	We Are Bulletproof PT.2	2013	Supreme Boi,RM,방시혁,SUGA,PDOGG	(What) 이리 내놔 (What) 긴장해 다 (What) 끝판대장 (What) We are bulletproof We are bulletproof Bulletproof 이름은 Jung Kook, 스케일은 전국 학교 대신 연습실에서 밤새 춤을 추고 노래 불렀네 너희가 놀 때, 난 꿈을 집도하며 잠을 참아가며 매일 밤새 볼펜을 잡네 아침 해가 뜬 뒤에 나 눈을 감네 이중잣대와 수많은 반대 속에서 깨부숴버린 나의 한계 그에 반해 재수 좋게 회사에 컨택된 속칭 노래 못 해 랩퍼를 당한 너희에게 랩퍼라는 타이틀은 사치 Everywhere I go, everything I do 나 보여줄게 칼을 갈아왔던 만큼 날 무시하던 많은 사람들 이젠 (Oh oh oh oh oh oh) hey shout it out Oh! 나만치 해봤다면 돌을 던져 We go hard 우린 겁이 없어 (Click click, bang bang) we juss sing it like (Click click, bang bang) we juss sing it like Oh! 나만치 해봤다면 돌을 던져 We go hard 우린 겁이 없어 (Click click, bang bang) we juss sing it like (Click click, bang bang) we juss sing it like (What) 이리 내놔 (What) 긴장해 다 (What) 끝판대장 (What) We are bulletproof We are bulletproof Bulletproof Look at my profile, 아직 아무것도 없지 Still 연습생 and 랩퍼맨, yeah I do know that's nuthin 고민도 했지만 이제 필요 없어졌지 넌 아직도 아마추어, 난 메이저, 쭉 그렇게 썩길 랩몬스터, 말처럼 괴물같이 무슨 비트든 간에 난 싹 집어삼켜 충실한 이름값 얘들아 이리와 미리 봐 한낱 아이돌의 반전 하하 힙부심뿐인 형들은 불가능하다 했지 but 똑똑히 봐 이걸 impossible에 마침표 찍어 I'm possible 자 이제 됐니 boy Everywhere I go, everything I do 나 보여줄게 칼을 갈아왔던 만큼 날 무시하던 많은 사람들 이젠 (Oh oh oh oh oh oh) hey shout it out Oh! 나만치 해봤다면 돌을 던져 We go hard 우린 겁이 없어 (Click click, bang bang) We juss sing it like (Click click, bang bang) We juss sing it like Oh! 나만치 해봤다면 돌을 던져 We go hard 우린 겁이 없어 (Click click, bang bang) We juss sing it like (Click click, bang bang) We juss sing it like (What) 이리 내놔 (What) 긴장해 다 (What) 끝판대장 (What) We are bulletproof We are bulletproof Bulletproof (Break) Bulletproof.
PDOGG	방탄소년단	2 COOL 4 SKOOL	Skit : Circle Room Talk	2013	PDOGG	대박이었다니까 그때는 그게 에헤이 2006년! Fly 최고였어 뮤직비디오 그거 대박이었어 흰색 와이셔츠에 빨간 넥타이 내가 그거 얼마나 따라 했었는데 초등학교 6학년 때 알지 그래가지고 형 안 어울리시는데 아이 뭐야 이거 야야 종 쳤다 이제 가자 아니 가자 아니 뭐 종 쳤다고 그래요 왜그래요 형 또 그냥 오늘 제대로 분위기 달아올랐는데 째 째 째 째! 안 가 시원하게 한 번 째 봅시다 나 안가 그래가지고 그래가지고 에픽하이부터 해 봐 봐 아니 그래가지고 그거 듣고 이제 딱 시작했다니까요 제가 랩을 말 그대로 Fly 했다는 거 아니에요 이 슈가 님도 어? 그거 듣고 랩 시작했지 다 똑같아요 우리들 다 똑같아 진짜 그때 나이대 다 똑같았었어 다 진짜 똑같았어 그치 그러면 뭐 우리는 Fly 들을 때 우리 홉이 홉은 뭐 했는가? 난 또 인제 랩하는 사람들과 이제 또 남다르게 또 나는 춤에 미쳐 있었었지 그렇지 그럴 줄 알았어 춤이 나와야지 이제 타고난 댄서? 타고난 댄서였지 뭐, 지민이도 마찬가지일걸? 아이 당연하죠 혹시 여기서 무용을 꿈꿔 본 사람은 없나? 없어 저리 가 무용은 없어 없어 저리 가 한 명 가! 가! 가! 저리 가 저리 가 방금, 방금 정적 들었냐 방금 한명도 없어여? 방금 다들 고민했다고 일초정적 태형이, 태형이 넌 꿈이 뭐였어? 저 3 년간 색소폰 했었어요 근데 왜 지금 안 해? 어... 색소폰? 이 아파서 아 입이 아파서 그래? 아 입이 아팠어여? 입이 아팠어여? 뭔가 되게 가식적이다 야 전 입이 아팠거든여 그래 많이 아팠나 보네 네 엄청난 이유다 마음이 아프다, 야 아이 그 진이 형 형은 꿈이 뭐였어요? 형은? 나야 뭐 그냥 우리 아빠처럼 어? 7 시에 출근하고 저녁 6 시에 퇴근해서 딱 마누라가 차려 주는 밥 먹고 어우 평범하게 사는 오 진짜 와 나도, 나도 그게 제일 좋다고 생각해 그게 최고지 어 최고인 것 같긴 해 힙합이 다 뭔 소용이에요 그게 짱이지 그래 뭐야 그렇다고 힙합을 버려요 왜 형 어? 왜 그러는 거야 시원하게 버렸구만 시원하게 버렸어 우리 아빠 욕하지 마 왜 버리고 그래? 우리 아빠 욕하지마 정국아 네? 네? 네? 네? 정국아 넌 꿈이 뭐였냐 그래 인마 저요? 저 기억 잘 안 나는데 이노무 쉐끼들! 수업 안들어가고 뭐하노? 힙합 동아리 들어갈게요 진짜 없애 버리든가 해야겠네 들어갈게요 이 새끼들 빨리 들어가! 들어갈게요 들어갈게요 아이 선생님요 갑니다 갈게요 알겠습니다 들어갈게요
PDOGG	방탄소년단	2 COOL 4 SKOOL	No More Dream	2013	Supreme Boi,RM,j-hope,SUGA,방시혁,PDOGG	얌마 니 꿈은 뭐니 얌마 니 꿈은 뭐니 얌마 니 꿈은 뭐니 니 꿈은 겨우 그거니 I wanna big house, big cars & big rings But 사실은 I dun have any big dreams 하하 난 참 편하게 살어 꿈 따위 안 꿔도 아무도 뭐라 안 하잖어 전부 다다다 똑가같이 나처럼 생각하고 있어 새까까까맣게 까먹은 꿈 많던 어린 시절 대학은 걱정 마 멀리라도 갈 거니까 알았어 엄마 지금 독서실 간다니까 니가 꿈꿔온 니 모습이 뭐여 지금 니 거울 속엔 누가 보여, I gotta say 너의 길을 가라고 단 하루를 살아도 뭐라도 하라고 나약함은 담아둬 왜 말 못하고 있어? 공부는 하기 싫다면서 학교 때려 치기는 겁나지? 이거 봐 등교할 준비하네 벌써 철 좀 들어 제발 좀, 너 입만 살아가지고 임마 유리멘탈 boy (Stop!) 자신에게 물어봐 언제 니가 열심히 노력했냐고 얌마 니 꿈은 뭐니 얌마 니 꿈은 뭐니 얌마 니 꿈은 뭐니 니 꿈은 겨우 그거니 거짓말이야 you such a liar See me see me ya 넌 위선자야 왜 자꾸 딴 길을 가래 야 너나 잘해 제발 강요하진 말아줘 (La la la la la) 니 꿈이 뭐니 니 꿈이 뭐니 뭐니 (La la la la la) 고작 이거니 고작 이거니 거니 지겨운 same day, 반복되는 매일에 어른들과 부모님은 틀에 박힌 꿈을 주입해 장래희망 넘버원.. 공무원? 강요된 꿈은 아냐, 9회말 구원투수 시간낭비인 야자에 돌직구를 날려 지옥 같은 사회에 반항해, 꿈을 특별사면 자신에게 물어봐 니 꿈의 profile 억압만 받던 인생 니 삶의 주어가 되어봐 니가 꿈꿔온 니 모습이 뭐여 지금 니 거울 속엔 누가 보여, I gotta say 너의 길을 가라고 단 하루를 살아도 뭐라도 하라고 나약함은 담아둬 얌마 니 꿈은 뭐니 얌마 니 꿈은 뭐니 얌마 니 꿈은 뭐니 니 꿈은 겨우 그거니 거짓말이야 you such a liar See me see me ya 넌 위선자야 왜 자꾸 딴 길을 가래 야 너나 잘해 제발 강요하진 말아줘 (La la la la la) 니 꿈이 뭐니 니 꿈이 뭐니 뭐니 (La la la la la) 고작 이거니 고작 이거니 거니 살아가는 법을 몰라 날아가는 법을 몰라 결정하는 법을 몰라 이젠 꿈꾸는 법도 몰라 눈을 눈을 눈을 떠라 다 이제 춤을 춤을 춤을 춰봐 자 다시 꿈을 꿈을 꿈을 꿔봐 다 너 꾸물대지마 우물쭈물 대지마 wussup! 거짓말이야 you such a liar See me see me ya 넌 위선자야 왜 자꾸 딴 길을 가래 야 너나 잘해 제발 강요하진 말아줘 (La la la la la) 니 꿈이 뭐니 니 꿈이 뭐니 뭐니 (La la la la la) 고작 이거니 고작 이거니 거니 To all the youth without dreams.
PDOGG	방탄소년단	O!RUL8,2?	INTRO : O!RUL8,2?	2013	RM,PDOGG	Nothing lasts forever, You only live once So live your life. Not any other’s lives Take chances and never regret. Never Never be late to do what you wanna do right now Because at one point of someday, everything you did Would be exactly what you will be 아버지는 말하셨지 인생을 즐겨라 아버지께 여쭤보고파 당신은 인생을 즐겼나 왜 당연한 게 당연하지 않게 됐고 당연하지 않은 게 당연하게 됐어 왜 나의 인생에서 나는 없고 그저 남의 인생들을 살게 됐어 이건 진짜야 도박도 게임도 아냐 딱 한번뿐인 인생 넌 대체 누굴 위해 사냐 9살 아니면 10살 때쯤 내 심장은 멈췄지 가슴에 손을 얹고 말해봐 내 꿈은 뭐였지? 어.. 진짜 뭐였지
PDOGG	방탄소년단	O!RUL8,2?	N.O	2013	Supreme Boi,RM,SUGA,방시혁,PDOGG	좋은 집 좋은 차 그런 게 행복일 수 있을까? In Seoul to the SKY, 부모님은 정말 행복해질까? 꿈 없어졌지 숨 쉴 틈도 없이 학교와 집 아니면 피씨방이 다인 쳇바퀴 같은 삶들을 살며 일등을 강요 받는 학생은 꿈과 현실 사이의 이중간첩 우릴 공부하는 기계로 만든 건 누구? 일등이 아니면 낙오로 구분 짓게 만든 건 틀에 가둔 건 어른이란 걸 쉽게 수긍 할 수 밖에 단순하게 생각해도 약육강식 아래 친한 친구도 밟고 올라서게 만든 게 누구라 생각해 what? 어른들은 내게 말하지 힘든 건 지금뿐이라고 조금 더 참으라고 나중에 하라고 Everybody say NO! 더는 나중이란 말로 안돼 더는 남의 꿈에 갇혀 살지마 We roll (We roll) We roll (We roll) We roll Everybody say NO! 정말 지금이 아니면 안돼 아직 아무것도 해본 게 없잖아 We roll (We roll) We roll (We roll) We roll Everybody say NO! 좋은 집 좋은 차 그런 게 행복일 수 있을까? In Seoul to the SKY, 부모님은 정말 행복해질까? 놀고 먹고 싶어 교복 찢고 싶어 Make money good money 벌써 삐딱한 시선 막연함뿐인 통장, 내 불행은 한도초과지 공부하는 한숨 공장, 계속되는 돌려막기 어른들이 하는 고백 너넨 참 편한 거래 분에 넘치게 행복한 거래 그럼 이렇게도 불행한 나는 뭔데 공부 외엔 대화주제가 없어 밖엔 나 같은 애가 넘쳐 똑같은 꼭두각시 인생 도대체 누가 책임져줘? 어른들은 내게 말하지 힘든 건 지금뿐이라고 조금 더 참으라고 나중에 하라고 Everybody say NO! 더는 나중이란 말로 안돼 더는 남의 꿈에 갇혀 살지마 We roll (We roll) We roll (We roll) We roll Everybody say NO! 정말 지금이 아니면 안돼 아직 아무것도 해본 게 없잖아 We roll (We roll) We roll (We roll) We roll Everybody say NO! Everybody say NO! Everybody say NO! Everybody say NO! (break) Everybody say NO!
PDOGG	방탄소년단	O!RUL8,2?	We On	2013	RM,j-hope,SUGA,PDOGG	Whatever they say Im here for my muzik here for my muzik, here for my muzik Whatever ma haters say im real for my muzik real for my muzik, real for my muzik 런치란다와 랩몬, 모두 나의 일부 또래 랩퍼 지망생들의 질투 어차피 니들은 보고 싶은 것만 보지 멍청한 어린 꼰대들 가방끈이 짧아, 7부 니가 귀염을 토할 때 난 기염을 토해 열등감에 찬 저 모두까기 인형들 또 내 선글라스, 내 헤어스타일, 내 이름 모두를 까내리지 현실찐따들의 비극적인 코미디 숨이 턱턱 막히게 널 덮쳐버리는 내 랩 좀 텁텁하고 섭섭해하던 널 단번에 벙쪄버리게 해 이렇게 뻑뻑한 가요계가 싫다면서 벅벅 머리 긁는 애들의 척 척, I know you 썩썩 Damn 팬, 대중, 매니아 yeah im makin' em mine 빅힛과 방탄소년단 yeah im makin' em shine 이름값을 해낼 훌리건, 바란 적 없어 홀인원 Yeah i wanna be the one, 넘버원이 아닌 only one, Swag 난 널 몰라 또 넌 날 몰라 제발 닥쳐주겠니 나는 걱정 마, 좋아 너보다 앞으로도 그럴 테지 예전부터 날 무시했던 친구들 다 어디 있어 we on 이건 장난 같은 게 아냐 보여줄게 i promise ya, we on (Gimme dat, real fact) 보여줄게 i promise ya, we on (Gimme dat, real fact) 보여줄게 i promise ya, we on Whatever they say im here for my muzik here for my muzik, here for my muzik Whatever ma haters say im real for my muzik real for my muzik, real for my muzik Oh oh my haters 좀 더 욕해줘 키보드 워리어, 노력해 좀 그래 그렇게 무시해줘 니가 틀렸단 걸 증명하는 게 취미에요 Uh 논란되는 실력, 날 속단하긴 일러 i'm killa 잭 더 리퍼 날 세운 혀로 널 찔러 i'm illa 난 게을러도 너보다는 바빠, 찔려? 데뷔 전 무시하던 hater 힙부심 가득한 너는 이젠 내 밑에 있어 잘봐라 나는 메이저 부럽지 hey chaser 내가 보기엔 따라오기엔 벅차, 그냥 거기 있어 내 손으로 직접 내린 이 가사는 핸드드립 연습생 졸업했지, celebrate 난 랩 블랙벨트, 너흰 그냥 그린벨트 발전이 없어 hey guys 좀 더 열폭을 해 난 널 몰라 또 넌 날 몰라 제발 닥쳐주겠니 나는 걱정 마, 좋아 너보다 앞으로도 그럴 테지 예전부터 날 무시했던 친구들 다 어디 있어 we on 이건 장난 같은 게 아냐 보여줄게 i promise ya, we on (Gimme dat, real fact) 보여줄게 i promise ya, we on (Gimme dat, real fact) 보여줄게 i promise ya, we on 2 COOL 4 SKOOL 활동은 기립박수 이건 코웃음 치던 애들에게 던지는 한 수 ＂축하해＂ 퍽이나 인맥을 위한 고정멘트 그런 거라면 니 ＂감＂은 썩었어, 도려내 Uh 이젠 급이 달라진 놈, he knows and she knows 모두의 관심대상 1호, 감탄은 일러 지켜봐 내 미래 니가 무시한 만큼 난 성공의 길로 진행 난 널 몰라 또 넌 날 몰라 제발 닥쳐주겠니 나는 걱정 마, 좋아 너보다 앞으로도 그럴 테지 예전부터 날 무시했던 친구들 다 어디 있어 we on 이건 장난 같은 게 아냐 보여줄게 i promise ya, we on (Gimme dat, real fact) 보여줄게 i promise ya, we on (Gimme dat, real fact) 보여줄게 i promise ya, we on Whatever they say im here for my muzik here for my muzik, here for my muzik Whatever ma haters say im real for my muzik real for my muzik, real for my muzik
PDOGG	방탄소년단	O!RUL8,2?	If I Ruled The World	2013	RM,j-hope,SUGA,PDOGG	If I ruled the world I'd do it all (Westside, westside, westside) If i ruled the world I'd do it all (Westside, westside, westside) If I ruled the world I'd have it all 남자라면 똑같겠지, pretty girls 완전히 없어지네 인종차별 European, Asian, Caucasian girls (I have 'em) 그리곤 불러 릭오웬스, 앤드뮬뮈스터 알렉산더 왕 & 셰인 올리버 평생 만들게 해 김남준 컬렉션 옷 색깔은 까만색으로, 이제야 좀 만족스러 Music, turn it up 지루해져 후비는 콧구녕 노랠 만들어 지구상 모든 사람들에게 부르게 해 노래 제목은 애구가 이쁜 여자들에게 파묻혀 TV를 봐 세상의 모든 여자들 날 위해 ready to die 남자들 너넨 술 가져와, 그냥 없어져도 좋아 어쨌든 여긴 내 왕국이니까 If i ruled the world I'd do it all (I'd do it all) I said 1 for the money, 2 for the money If i ruled the world I'd do it all (I'd do it all) I said 1 for the money, 2 for the money Everybody say he-o-e-oh-oh! Everybody say he-o-e-oh-oh! Everybody say hey, ho! Hey-hey-ho! 말도 안 된다는 걸 아는데 불러보는 철없는 노래 if i ruled the world 가끔 꿈을 꿔 내가 만약 세상을 지배한다면 일단 먼저 난 공인중개사를 찾아가 가족과 함께 살 집을 사고파 그래, 그 다음은 내 장롱면허 잠에서 깨워줘야지 4륜구동 차를 구입하고 기름을 주입하고 이런 게 무리라도 무이자인 할부로 주식과 도박 그딴 건 안 하고파 세상을 지배했는데 왜 그리 꿈이 소박 하냐는 질문은 마 난 방탄 식구들과 그래도 여전히 i'm still 음악이고파 난 힙합계의 김정은이 되서 우리 음악 말곤 심의를 걸겠어 얼토당토 안 한 꿈이지만 It's my dream 놀리지 마 If i ruled the world I'd do it all (I'd do it all) I said 1 for the money, 2 for the money If i ruled the world I'd do it all (I'd do it all) I said 1 for the money, 2 for the money Everybody say he-o-e-oh-oh! Everybody say he-o-e-oh-oh! Everybody say hey, ho! Hey-hey-ho! 말도 안 된다는 걸 아는데 불러보는 철없는 노래 Oh girl, 어디? Oh god, 여기! 세상에 모든 여자들은 hope world, 줄 섰지 모든 money 거뜬하게 써도 내 지갑이란 골대에 돈이 골인되지 또 겁 없이 무대 위를 걸어다니지 달리지 않아도 갈수록 쌓여가는 마일리지 이런 꿈들을 이젠 내게 곧 선물하겠어 방탄이란 이름 걸고 외쳐 if i ruled the world If i ruled the world I'd do it all (I'd do it all) I said 1 for the money, 2 for the money If i ruled the world I'd do it all (I'd do it all) I said 1 for the money, 2 for the money Everybody say he-o-e-oh-oh! Everybody say he-o-e-oh-oh! Everybody say hey, ho! Hey-hey-ho! 말도 안 된다는 걸 아는데 불러보는 철없는 노래
PDOGG	방탄소년단	O!RUL8,2?	Coffee	2013	Slow Rabbit,RM,j-hope,SUGA,PDOGG,권순일 (어반자카파),박용인 (어반자카파),재만 (JAEMAN),조현아 (어반자카파)	baby baby 그대는 Caramel Macchiato 여전히 내 입가엔 그대 향기 달콤해 baby baby tonight Girl 나 데뷔했어, 이 말 한 마디면 되겠지? 얼마나 성공할 지 세상이랑 내기했어 네게만 보여주던 내 반달 눈웃음, 요즘 다시 짓고 다녀 내 팬들이 궁금해해줘 아 그리고 잘 안 마셔 마끼아또 알잖아 너 땜에 습관이 된 아메리카노 사귈 땐 이게 무슨 맛인가 싶었었는데 차갑고 뒷맛은 씁쓸한 게 니가 없으니까 이젠 조금 이해가 돼 girl 이렇게 다들 익숙해져 가는 거라면 후회 많을 불장난을 다시 선택하겠어 나는 우리의 야속하던 약속들, 수많던 잘못들과 또 다른 잘못들 사이 놓인 말 못할 잘잘못들 맛볼수록 쓰기만 했던 추억이 담긴 잔 왜 들이키게 되는지 알 것 같지만 다 이렇게 사는 거란 말이 왜이리 슬프지 나 baby baby 그대는 Caramel Macchiato 여전히 내 입가엔 그대 향기 달콤해 baby baby tonight baby baby 그대는 cafe latte 향보다 포근했던 그 느낌 기억하고 있나요 baby baby tonight Baby tonight 잘 자요 오늘 밤 괜히 둘 사이 어색한 기류만 흐르던 첫 문자와 첫 통화 기대하던 첫 만남 근데 난 왜 손톱만 물어뜯었을까 긴장해서였을까 시간이 흐르고 자연스레 우리 둘 사인 연인 아님 애인 그런 말들로 매일 서로를 확인하고 확인했지 맘에 새긴 우리의 첫 만남은 캬라멜 마끼아또 처럼 달콤했지 어디든 같이 가고 싶던 마음도 시간이 지나면서 마치 에스프레소처럼 내려놓게 되었어 Uh 괜시리 속아프네, uh 우린 참 좋았는데 이별은 쓰디쓴 아메리카노 아직도 추억은 여전히 그 카페로 가고 있어 baby baby 그대는 Caramel Macchiato 여전히 내 입가엔 그대 향기 달콤해 baby baby tonight baby baby 그대는 cafe latte 향보다 포근했던 그 느낌 기억하고 있나요 baby baby tonight 그래 매일 하루 종일 니 향기 속에 취하던 시절과 서로 먼 훗날을 기약하며 이별을 택했던 기억이 나 너와 같이 좋아했던 민트향, 커피를 먹다 보니 너가 생각나며 rewind 시간이 많이 지난 요즘 가끔 니가 보고픈 건 왜일까? baby baby 그대는 Caramel Macchiato 여전히 내 입가엔 그대 향기 달콤해 baby baby tonight baby baby 그대는 cafe latte 향보다 포근했던 그 느낌 기억하고 있나요 baby baby tonight
PDOGG	방탄소년단	O!RUL8,2?	진격의 방탄	2013	Supreme Boi,RM,j-hope,SUGA,PDOGG	하지만 방탄소년단이 진격한다면 어떨까? 방! 탄! 소! 년! 단! 진격해 방! 탄! 소년단처럼 진격해 방! 탄! 소년단처럼 진격해 방! 탄! 소년단처럼 진격해 방! 탄! 소년단처럼 진격. 용감하지? 용감한 방탄소년단 인기 역시 용감하게 ge ge get it 난 랩괴물, 깔리고 깔린 랩퇴물들을 다 쓸어버려 가뿐하게 be be beat it 가사? 완전 신들렸지 24/7 언제나 난 굿해 뭣도 없고 멋도 없는 애들이 오늘도 부려대는 저 추태 내 두 발이 보란 듯이 경적을 울려, 이 판의 출사표 내 가요계 출격 내 첫 타석 봐 홈런 때려 자신 없다면 방망일 내려 내 무댄 끌리는 대로 슛해 맘대로 그래도 대중의 함성들은 내 귀를 채워 그래 난 무대 위에 강백호, 다 증명했어 그저 마이크는 거들 뿐 다 미칠 준비 됐나 힘껏 뛸 준비 됐나 명치에 힘 빡 주고 단! 전! 호! 흡! 다 미칠 준비 됐나 힘껏 뛸 준비 됐나 그렇담 지금부터 소리질러 우리가 누구? 진격의 방탄소년단 우리가 누구? 겁없이 집어삼킨다 cuz we got fire fire fire get higher higher higher 우릴 모른다면 제대로 알아둬 우리가 누구? 누구? 진격의 방탄 Lalala la lala lalala lalalalala turn up! Lalala la lala lalala lalalalala turn up! 니 마음을 집어삼켜 내가 왔다 지금 알려 Lalala la lala lalala lalalalala 우리가 누구? 누구? 진격의 방탄 우리 음악이 시작됐다 하면 눈 뒤집혀서 피우는 난리 우리 스타일은 No More Dream 무대 위에서 선배들 등을 밟지 (I’m sorry Man) What? What more can I say? 데뷔부터 지금까지 쭉 위로 우리의 고지점령은 시간문제 첫 블럭을 자빠뜨린 도미노 그래 자빠뜨려 눈 깜빡 뜨면 우린 무대에서 귀를 잡아 끌어 이런 감각스런 내 랩의 향연 한 번 맛보면 숨 가빠지며 너는 완전 속이 타 can't nobody hold me down Ok 나는 4분의 4박자 비트 위를 항상 찢고 다녀 무대 위에선 상남자 style 다 미칠 준비 됐나 힘껏 뛸 준비 됐나 명치에 힘 빡 주고 단! 전! 호! 흡! 다 미칠 준비 됐나 힘껏 뛸 준비 됐나 그렇담 지금부터 소리질러 우리가 누구? 진격의 방탄소년단 우리가 누구? 겁없이 집어삼킨다 cuz we got fire fire fire get higher higher higher 우릴 모른다면 제대로 알아둬 무대 위에 오르는 순간 그대의 함성들을 난 느껴 그대로 영원히 거기 있어줘 이대로 죽어도 후회는 없을 테니까 우리가 누구? 진격의 방탄소년단 우리가 누구? 겁없이 집어삼킨다 cuz we got fire fire fire get higher higher higher 우릴 모른다면 제대로 알아둬 우리가 누구? 누구? 진격의 방탄 진격해 방! 탄! 소년단처럼 진격해 방! 탄! 소년단처럼 진격해 방! 탄! 소년단처럼 진격해 방! 탄! 소년단처럼 우리가 누구? 누구? 진격의 방탄 진격
PDOGG	방탄소년단	O!RUL8,2?	팔도강산	2013	RM,j-hope,SUGA,PDOGG	Yo once again Bighit Represent 우리는 방탄소년단 Let Go 서울 강원부터 경상도 충청도부터 전라도 마마 머라카노! (What!) 마마 머라카노! (What!) 서울 강원부터 경상도 충청도부터 전라도 우리가 와불따고 전하랑께 (What!) 우린 멋져부러 허벌라게 아재들 안녕하십니꺼 내카모 고향이 대구 아입니꺼 그캐서 오늘은 사투리 랩으로 머시마, 가시나 신경 쓰지 말고 한번 놀아봅시더 거시기 여러분 모두 안녕들 하셨지라 오메 뭐시여! 요 물땜시 랩 하것띠야? 아재 아짐들도 거가 박혀있지 말고 나와서 즐겨~ 싹다 잡아블자고잉!! 마 갱상도카모 신라의 화랑 후예들이 계속해서 자라나고 사투리하모 갱상도 아이가 구수하고 정겨운게 딱 우리 정서에 맞다 아이가 아따 성님 거거 우리도 있당께 뭣좀 묵엇단까? 요 비빔밥 갑이랑께 아직 씨부리잠 세발의 피이니께 쫌따 벼~ 개안하게 풀어블라니까 가가 가가? 이런 말은 아나? 갱상도는 억시다고? 누가 그카노 머라케샀노 갱상도 정하모 아나바다 같은거지 모 니가 직접와서 한번봐라 아 대따 마 대구 머스마라서 두 말 안한다카이!! 하모하모 갱상도 쥑인다 아인교!! 아주라 마!! 우리가 어디 남인교!! 시방 머라고라? 흐미 아찌아쓰까나 전라도 씨부림땜시 아구지 막혀브러싸야 흑산도 홍어코 한방 잡수믄 된디 온몸 구녕이란 구녕은 막 다 뚫릴 텬디 거시기 뭐시기 음 괜찮것소? 아직 팔구월 풍월 나 애가졌쏘 무등산 수박 크기 20키로 장사여~ 겉만 봐도 딱 가시내 울릴 방탄여 서울 강원부터 경상도 충청도부터 전라도 마마 머라카노! (What!) 마마 머라카노! (What!) 서울 강원부터 경상도 충청도부터 전라도 우리가 와불따고 전하랑께 (What!) 우린 멋져부러 허벌라게 (Talk) 아 이 촌놈들 난 Seoul state of mind 난 서울에서 나서 서울말 잘 배웠다 요즘은 뭐 어디 사투리가 다 벼슬이다만 그래 인정할게 악센트들이 멋은 있다 하지만 여긴 표준인 만큼 정직해 처음과 끝이 분명하고 딱 정립된 한국말의 표본으로 정리되지 Only ours goes with English, yall never understand it Okay 솔직히 솔직해질게 경상도 사투리는 남자라면 쓰고 싶게 만들어 전라도 말들은 너무나 친근해 한번 입에 담으면 어우야 내가 다 기쁘네 Why keep fighting 결국 같은 한국말들 올려다 봐 이렇게 마주한 같은 하늘 살짝 오글거리지만 전부다 잘났어 말 다 통하잖아? 문산부터 마라도 서울 강원부터 경상도 충청도부터 전라도 마마 머라카노! (What!) 마마 머라카노! (What!) 서울 강원부터 경상도 충청도부터 전라도 우리가 와불따고 전하랑께 (What!) 우린 멋져부러 허벌라게 서울 강원부터 경상도 충청도부터 전라도 마마 머라카노! (What!) 마마 머라카노! (What!) 서울 강원부터 경상도 충청도부터 전라도 우리가 와불따고 전하랑께 (What!) 우린 멋져부러 허벌라게
