형태소,품사,작사가,카운트
"
",Foreign,KENZIE,2
!,Punctuation,KENZIE,151
!,Punctuation,PDOGG,169
!,Punctuation,TEDDY,35
!,Punctuation,조윤경,36
!!,Punctuation,KENZIE,3
!!,Punctuation,PDOGG,9
!!!!,Punctuation,PDOGG,3
!!!!!,Punctuation,PDOGG,1
"!""",Punctuation,PDOGG,1
!',Punctuation,PDOGG,1
!),Punctuation,KENZIE,33
!),Punctuation,PDOGG,97
!),Punctuation,조윤경,6
"""",Punctuation,PDOGG,1
"""",Punctuation,조윤경,10
$,Punctuation,PDOGG,2
&,Punctuation,KENZIE,19
&,Punctuation,PDOGG,11
&,Punctuation,TEDDY,4
&,Punctuation,조윤경,3
',Punctuation,KENZIE,176
',Punctuation,PDOGG,447
',Punctuation,TEDDY,153
',Punctuation,조윤경,205
(,Punctuation,KENZIE,219
(,Punctuation,PDOGG,447
(,Punctuation,TEDDY,61
(,Punctuation,조윤경,211
(&),Punctuation,조윤경,1
([,Punctuation,KENZIE,12
),Punctuation,KENZIE,187
),Punctuation,PDOGG,321
),Punctuation,TEDDY,57
),Punctuation,조윤경,199
"),",Punctuation,PDOGG,3
*,Punctuation,KENZIE,43
*,Punctuation,TEDDY,7
*,Punctuation,조윤경,29
**,Punctuation,KENZIE,18
**,Punctuation,TEDDY,1
**,Punctuation,조윤경,17
***,Punctuation,KENZIE,3
***,Punctuation,조윤경,2
****,Punctuation,조윤경,2
*[,Punctuation,KENZIE,5
+,Punctuation,KENZIE,6
+,Punctuation,PDOGG,1
",",Punctuation,KENZIE,366
",",Punctuation,PDOGG,490
",",Punctuation,TEDDY,32
",",Punctuation,조윤경,220
",)",Punctuation,TEDDY,3
",,",Punctuation,TEDDY,2
-,Punctuation,KENZIE,234
-,Punctuation,PDOGG,63
-,Punctuation,TEDDY,50
-,Punctuation,조윤경,206
--,Punctuation,조윤경,6
-----,Punctuation,TEDDY,1
.,Punctuation,KENZIE,87
.,Punctuation,PDOGG,140
.,Punctuation,TEDDY,100
.,Punctuation,조윤경,60
.),Punctuation,조윤경,2
..,Punctuation,KENZIE,10
..,Punctuation,PDOGG,20
..,Punctuation,TEDDY,2
..,Punctuation,조윤경,3
...,Punctuation,KENZIE,7
...,Punctuation,PDOGG,8
...,Punctuation,조윤경,3
.....,Punctuation,KENZIE,2
0,Number,TEDDY,1
062-518,Number,PDOGG,1
1,Number,KENZIE,6
1,Number,PDOGG,11
1,Number,TEDDY,20
1,Number,조윤경,3
1.2,Number,TEDDY,1
10,Number,PDOGG,4
10,Number,조윤경,27
10만원,Number,PDOGG,1
119,Number,PDOGG,1
12시,Number,PDOGG,2
151,Number,KENZIE,2
16,Number,PDOGG,1
17,Number,PDOGG,1
181,Number,PDOGG,1
1년,Number,KENZIE,1
1년,Number,PDOGG,4
1등,Number,PDOGG,2
1분,Number,조윤경,1
1초,Number,조윤경,1
2,Number,KENZIE,12
2,Number,PDOGG,20
2,Number,TEDDY,46
2,Number,조윤경,7
2-2,Number,TEDDY,3
20,Number,PDOGG,4
2001,Number,PDOGG,1
2006년,Number,PDOGG,2
2007년,Number,PDOGG,1
2010,Number,TEDDY,1
2010년,Number,PDOGG,1
21,Number,PDOGG,7
21,Number,TEDDY,1
24,Number,PDOGG,3
24,Number,TEDDY,1
24/7,Number,KENZIE,10
24/7,Number,PDOGG,2
248,Number,PDOGG,2
24시간,Number,PDOGG,3
2년,Number,PDOGG,1
3,Number,KENZIE,8
3,Number,PDOGG,2
3,Number,TEDDY,3
3,Number,조윤경,4
3-6,Number,조윤경,13
3.4,Number,TEDDY,1
365,Number,TEDDY,1
3년,Number,PDOGG,2
3분,Number,KENZIE,1
3분,Number,TEDDY,1
3시,Number,KENZIE,1
4,Number,KENZIE,4
4,Number,PDOGG,3
4,Number,TEDDY,11
4,Number,조윤경,1
400,Number,PDOGG,1
4분,Number,KENZIE,1
4분,Number,PDOGG,1
5,Number,KENZIE,2
5,Number,PDOGG,2
5,Number,TEDDY,7
