가수,앨범,제목,발매년도,작사가,가사,
방탄소년단,2 COOL 4 SKOOL,Intro : 2 COOL 4 SKOOL (Feat. DJ Friz),2013,Supreme Boi,We're now going to progress to some steps which are a bit more difficult Ready Set and begin Bighit Exclusive Dj Friz Who's that BANGTAN 방탄소년단 What Too cool Too cool for School Too cool Too cool for School 십 대 이십 댈 대신해 쉽게 우리 얘길 해 Too cool Too cool for School Too cool Too cool for School 십 대 이십 댈 대신해 쉽게 우리 얘길 해 ,
방탄소년단,2 COOL 4 SKOOL,We Are Bulletproof PT.2,2013,"Supreme Boi,RM,방시혁,SUGA,PDOGG","(What) 이리 내놔 (What) 긴장해 다 (What) 끝판대장 (What) We are bulletproof We are bulletproof Bulletproof 이름은 Jung Kook, 스케일은 전국 학교 대신 연습실에서 밤새 춤을 추고 노래 불렀네 너희가 놀 때, 난 꿈을 집도하며 잠을 참아가며 매일 밤새 볼펜을 잡네 아침 해가 뜬 뒤에 나 눈을 감네 이중잣대와 수많은 반대 속에서 깨부숴버린 나의 한계 그에 반해 재수 좋게 회사에 컨택된 속칭 노래 못 해 랩퍼를 당한 너희에게 랩퍼라는 타이틀은 사치 Everywhere I go, everything I do 나 보여줄게 칼을 갈아왔던 만큼 날 무시하던 많은 사람들 이젠 (Oh oh oh oh oh oh) hey shout it out Oh! 나만치 해봤다면 돌을 던져 We go hard 우린 겁이 없어 (Click click, bang bang) we juss sing it like (Click click, bang bang) we juss sing it like Oh! 나만치 해봤다면 돌을 던져 We go hard 우린 겁이 없어 (Click click, bang bang) we juss sing it like (Click click, bang bang) we juss sing it like (What) 이리 내놔 (What) 긴장해 다 (What) 끝판대장 (What) We are bulletproof We are bulletproof Bulletproof Look at my profile, 아직 아무것도 없지 Still 연습생 and 랩퍼맨, yeah I do know that's nuthin 고민도 했지만 이제 필요 없어졌지 넌 아직도 아마추어, 난 메이저, 쭉 그렇게 썩길 랩몬스터, 말처럼 괴물같이 무슨 비트든 간에 난 싹 집어삼켜 충실한 이름값 얘들아 이리와 미리 봐 한낱 아이돌의 반전 하하 힙부심뿐인 형들은 불가능하다 했지 but 똑똑히 봐 이걸 impossible에 마침표 찍어 I'm possible 자 이제 됐니 boy Everywhere I go, everything I do 나 보여줄게 칼을 갈아왔던 만큼 날 무시하던 많은 사람들 이젠 (Oh oh oh oh oh oh) hey shout it out Oh! 나만치 해봤다면 돌을 던져 We go hard 우린 겁이 없어 (Click click, bang bang) We juss sing it like (Click click, bang bang) We juss sing it like Oh! 나만치 해봤다면 돌을 던져 We go hard 우린 겁이 없어 (Click click, bang bang) We juss sing it like (Click click, bang bang) We juss sing it like (What) 이리 내놔 (What) 긴장해 다 (What) 끝판대장 (What) We are bulletproof We are bulletproof Bulletproof (Break) Bulletproof.",
방탄소년단,2 COOL 4 SKOOL,Skit : Circle Room Talk,2013,PDOGG,"대박이었다니까 그때는 그게 에헤이 2006년! Fly 최고였어 뮤직비디오 그거 대박이었어 흰색 와이셔츠에 빨간 넥타이 내가 그거 얼마나 따라 했었는데 초등학교 6학년 때 알지 그래가지고 형 안 어울리시는데 아이 뭐야 이거 야야 종 쳤다 이제 가자 아니 가자 아니 뭐 종 쳤다고 그래요 왜그래요 형 또 그냥 오늘 제대로 분위기 달아올랐는데 째 째 째 째! 안 가 시원하게 한 번 째 봅시다 나 안가 그래가지고 그래가지고 에픽하이부터 해 봐 봐 아니 그래가지고 그거 듣고 이제 딱 시작했다니까요 제가 랩을 말 그대로 Fly 했다는 거 아니에요 이 슈가 님도 어? 그거 듣고 랩 시작했지 다 똑같아요 우리들 다 똑같아 진짜 그때 나이대 다 똑같았었어 다 진짜 똑같았어 그치 그러면 뭐 우리는 Fly 들을 때 우리 홉이 홉은 뭐 했는가? 난 또 인제 랩하는 사람들과 이제 또 남다르게 또 나는 춤에 미쳐 있었었지 그렇지 그럴 줄 알았어 춤이 나와야지 이제 타고난 댄서? 타고난 댄서였지 뭐, 지민이도 마찬가지일걸? 아이 당연하죠 혹시 여기서 무용을 꿈꿔 본 사람은 없나? 없어 저리 가 무용은 없어 없어 저리 가 한 명 가! 가! 가! 저리 가 저리 가 방금, 방금 정적 들었냐 방금 한명도 없어여? 방금 다들 고민했다고 일초정적 태형이, 태형이 넌 꿈이 뭐였어? 저 3 년간 색소폰 했었어요 근데 왜 지금 안 해? 어... 색소폰? 이 아파서 아 입이 아파서 그래? 아 입이 아팠어여? 입이 아팠어여? 뭔가 되게 가식적이다 야 전 입이 아팠거든여 그래 많이 아팠나 보네 네 엄청난 이유다 마음이 아프다, 야 아이 그 진이 형 형은 꿈이 뭐였어요? 형은? 나야 뭐 그냥 우리 아빠처럼 어? 7 시에 출근하고 저녁 6 시에 퇴근해서 딱 마누라가 차려 주는 밥 먹고 어우 평범하게 사는 오 진짜 와 나도, 나도 그게 제일 좋다고 생각해 그게 최고지 어 최고인 것 같긴 해 힙합이 다 뭔 소용이에요 그게 짱이지 그래 뭐야 그렇다고 힙합을 버려요 왜 형 어? 왜 그러는 거야 시원하게 버렸구만 시원하게 버렸어 우리 아빠 욕하지 마 왜 버리고 그래? 우리 아빠 욕하지마 정국아 네? 네? 네? 네? 정국아 넌 꿈이 뭐였냐 그래 인마 저요? 저 기억 잘 안 나는데 이노무 쉐끼들! 수업 안들어가고 뭐하노? 힙합 동아리 들어갈게요 진짜 없애 버리든가 해야겠네 들어갈게요 이 새끼들 빨리 들어가! 들어갈게요 들어갈게요 아이 선생님요 갑니다 갈게요 알겠습니다 들어갈게요",
방탄소년단,2 COOL 4 SKOOL,No More Dream,2013,"Supreme Boi,RM,j-hope,SUGA,방시혁,PDOGG","얌마 니 꿈은 뭐니 얌마 니 꿈은 뭐니 얌마 니 꿈은 뭐니 니 꿈은 겨우 그거니 I wanna big house, big cars & big rings But 사실은 I dun have any big dreams 하하 난 참 편하게 살어 꿈 따위 안 꿔도 아무도 뭐라 안 하잖어 전부 다다다 똑가같이 나처럼 생각하고 있어 새까까까맣게 까먹은 꿈 많던 어린 시절 대학은 걱정 마 멀리라도 갈 거니까 알았어 엄마 지금 독서실 간다니까 니가 꿈꿔온 니 모습이 뭐여 지금 니 거울 속엔 누가 보여, I gotta say 너의 길을 가라고 단 하루를 살아도 뭐라도 하라고 나약함은 담아둬 왜 말 못하고 있어? 공부는 하기 싫다면서 학교 때려 치기는 겁나지? 이거 봐 등교할 준비하네 벌써 철 좀 들어 제발 좀, 너 입만 살아가지고 임마 유리멘탈 boy (Stop!) 자신에게 물어봐 언제 니가 열심히 노력했냐고 얌마 니 꿈은 뭐니 얌마 니 꿈은 뭐니 얌마 니 꿈은 뭐니 니 꿈은 겨우 그거니 거짓말이야 you such a liar See me see me ya 넌 위선자야 왜 자꾸 딴 길을 가래 야 너나 잘해 제발 강요하진 말아줘 (La la la la la) 니 꿈이 뭐니 니 꿈이 뭐니 뭐니 (La la la la la) 고작 이거니 고작 이거니 거니 지겨운 same day, 반복되는 매일에 어른들과 부모님은 틀에 박힌 꿈을 주입해 장래희망 넘버원.. 공무원? 강요된 꿈은 아냐, 9회말 구원투수 시간낭비인 야자에 돌직구를 날려 지옥 같은 사회에 반항해, 꿈을 특별사면 자신에게 물어봐 니 꿈의 profile 억압만 받던 인생 니 삶의 주어가 되어봐 니가 꿈꿔온 니 모습이 뭐여 지금 니 거울 속엔 누가 보여, I gotta say 너의 길을 가라고 단 하루를 살아도 뭐라도 하라고 나약함은 담아둬 얌마 니 꿈은 뭐니 얌마 니 꿈은 뭐니 얌마 니 꿈은 뭐니 니 꿈은 겨우 그거니 거짓말이야 you such a liar See me see me ya 넌 위선자야 왜 자꾸 딴 길을 가래 야 너나 잘해 제발 강요하진 말아줘 (La la la la la) 니 꿈이 뭐니 니 꿈이 뭐니 뭐니 (La la la la la) 고작 이거니 고작 이거니 거니 살아가는 법을 몰라 날아가는 법을 몰라 결정하는 법을 몰라 이젠 꿈꾸는 법도 몰라 눈을 눈을 눈을 떠라 다 이제 춤을 춤을 춤을 춰봐 자 다시 꿈을 꿈을 꿈을 꿔봐 다 너 꾸물대지마 우물쭈물 대지마 wussup! 거짓말이야 you such a liar See me see me ya 넌 위선자야 왜 자꾸 딴 길을 가래 야 너나 잘해 제발 강요하진 말아줘 (La la la la la) 니 꿈이 뭐니 니 꿈이 뭐니 뭐니 (La la la la la) 고작 이거니 고작 이거니 거니 To all the youth without dreams.",
방탄소년단,2 COOL 4 SKOOL,좋아요,2013,"Slow Rabbit,RM,j-hope,SUGA","Wanna be loved... Don't wanna be fool, wanna be cool, wanna be loved 너와의 same love Baby I want it 니가 올리는 모든 사진마다 좋아요 남발하는 처음 보는 저 남자.. 누구야? 아 맞다 나 이제 남자친구 아니지 자연스레 니 번호 눌렀잖아 전화나 카톡하자니 꼭 지는 것 같고 뭐라도 안 하면 날 신경도 안 쓸 것 같어 (왜) 싫어요 버튼은 없는데 싫어 저 삼십 몇 명 중 하나가 되는 게 여기도 좋다고 저기도 좋다고 한번만 놀자고 왜 그리 곱냐고 Uh f**k that, all stupid b*******s 이젠 내 꺼도 아닌데 왜 뺏기는 것 같은지 하하 넌 나 없이 참 잘 사네 눈꼴 시려우니까 노는 것 좀 살살해 목까지 올라온 저주를 삼키고 오늘도 좋아요를 누르지.. shit 넌 남이 되고 오히려 더 좋아 보여 pretty woman Yeah Yeah Yeah Yeah 오 얄밉게도 여전히 넌 좋아 보여 pretty woman Oh pretty woman Don't wanna be fool, wanna be cool, wanna be loved 너와의 same love I know it's over Don't wanna be fool, wanna be cool, wanna be loved 너와의 same love Baby I want it 친구 놈이 누른 좋아요로 보이는 니 얼굴은 훨씬 좋아 보여 새 남친과 찍은 사진 속 tag tag 덕분에 추억 속으로 난 backspace 그 세상은 어느새 다들 멈춰있는데 난 왜 여전히 그 시간에 걸쳐있는데? Ha 넌 내 생각을 할까? (할까?) 고민하며 좋아요를 누를까 말까 수십 번을 반복해 너의 마음은 마치 단두대처럼 나를 싹둑 가차없이 잘라냈지만 난 도깨비 감투, 몰래 다가가 너의 일상생활을 맨날 보네 그때마다 머릿속은 백팔번뇌 Oh shit 내 생각은 할까? (할까?) 고민하며 좋아요를 누르지 말자 넌 남이 되고 오히려 더 좋아 보여 pretty woman Yeah Yeah Yeah Yeah 오 얄밉게도 여전히 넌 좋아 보여 pretty woman Oh pretty woman Don't wanna be fool, wanna be cool, wanna be loved 너와의 same love I know it's over Don't wanna be fool, wanna be cool, wanna be loved 너와의 same love Baby I want it 너 요즘에 어떻게 지내고 있나 궁금해 보니 좋아요가 빛나 나 없이 잘 사는 니가 왜 생각났지? 찾아온 건 한심만 더 나도 누르고 갈게 니 글 위에 난 요즘 너 없이 이렇게 지내 (Know you want it) 넌 남이 되고 오히려 더 좋아 보여 pretty woman Yeah Yeah Yeah Yeah 오 얄밉게도 여전히 넌 좋아 보여 pretty woman Oh pretty woman Don't wanna be fool, wanna be cool, wanna be loved 너와의 same love I know it's over Don't wanna be fool, wanna be cool, wanna be loved 너와의 same love Baby I want it",
방탄소년단,2 COOL 4 SKOOL,Outro : Circle Room Cypher,2013,"RM,j-hope,SUGA,V,지민,정국,진",내 이름은 SUGA 다른 래퍼들은 전부 내 뒤에 오늘도 쌔끈한 이 비트 위에 이리 갔다 저리 갔다 혓바닥을 놀려 너의 랩은 다 졸려 이 CD 다시 돌려 우리 음악들은 여성 분을 울려 우리 이름은 방탄 지금 너네 입에서 나오는 건 감탄 Im a boy 멋진 Im a boy 착한 근데 내 목소리는 사탄 너는 1 탄 나는 4 탄 나는 너를 치유하는 이가탄 네 랩은 돼지 나는 잘록 너는 리본 돼지 나는 발록 걍 발러 Commedes Rolex Dior Hermes 나한테 어울리는 단어네 근데 너한테 어울리는 건 좀생이 아니면 폼페이 걍 폭발했지 상대를 좀 가려 아 근데 나 지금 오줌 마려 오늘도 got ya 내 freestyle rapping 이 장단 맞추며 폼 내 쭉 세팅 Top MC 답게 MCM에 GUCCI Alexander McQueen 뭐 됐지 랩 처음 할 때 지금은 달라 비트에 걸음 하네 난 열흘 만에 타파 모두 잡아 정국 날 봐 날 봐 날 봐 그래 형들 랩들 잘 들었어 남준이 형 가사 이제는 철 들었어 형들의 랩 실력이 고만고만해 칭찬이야 이제는 그만 그만해 내 앞에 홉이 형 긴장하고 있어 뭐가 떨려 가서 김장하고 있어 대구 사투리 살아 있네 윤기 형 살아 있네 이건 우리 음악 중에 Skit 여기서 보여 줄게 내 한 칼 Skill 내 내 내 내 내 이름 J-Hope 멋있어서 흔적이 남지 Thats Force God Damn 광주가 낳은 힙합 이건 전라도 랩의 첫 시작 모두 털어 줄게 거덜나게 우린 멋져부러 허벌나게 내 이름 진 끊임없이 잘생김 근데 내 별명 찐따 But 최근 들어 따가 빠졌지 Yeah 이제 내 별명은 진 그래서 내 예명 진 내 이름은 지민 여기 보컬 팀들 내 랩에 지림 태형아 네 랩들은 냄새나 좀 비림 내가 누군지 좀 알아봐 미리,
방탄소년단,"O!RUL8,2?","INTRO : O!RUL8,2?",2013,"RM,PDOGG","Nothing lasts forever, You only live once So live your life. Not any other’s lives Take chances and never regret. Never Never be late to do what you wanna do right now Because at one point of someday, everything you did Would be exactly what you will be 아버지는 말하셨지 인생을 즐겨라 아버지께 여쭤보고파 당신은 인생을 즐겼나 왜 당연한 게 당연하지 않게 됐고 당연하지 않은 게 당연하게 됐어 왜 나의 인생에서 나는 없고 그저 남의 인생들을 살게 됐어 이건 진짜야 도박도 게임도 아냐 딱 한번뿐인 인생 넌 대체 누굴 위해 사냐 9살 아니면 10살 때쯤 내 심장은 멈췄지 가슴에 손을 얹고 말해봐 내 꿈은 뭐였지? 어.. 진짜 뭐였지",
방탄소년단,"O!RUL8,2?",N.O,2013,"Supreme Boi,RM,SUGA,방시혁,PDOGG","좋은 집 좋은 차 그런 게 행복일 수 있을까? In Seoul to the SKY, 부모님은 정말 행복해질까? 꿈 없어졌지 숨 쉴 틈도 없이 학교와 집 아니면 피씨방이 다인 쳇바퀴 같은 삶들을 살며 일등을 강요 받는 학생은 꿈과 현실 사이의 이중간첩 우릴 공부하는 기계로 만든 건 누구? 일등이 아니면 낙오로 구분 짓게 만든 건 틀에 가둔 건 어른이란 걸 쉽게 수긍 할 수 밖에 단순하게 생각해도 약육강식 아래 친한 친구도 밟고 올라서게 만든 게 누구라 생각해 what? 어른들은 내게 말하지 힘든 건 지금뿐이라고 조금 더 참으라고 나중에 하라고 Everybody say NO! 더는 나중이란 말로 안돼 더는 남의 꿈에 갇혀 살지마 We roll (We roll) We roll (We roll) We roll Everybody say NO! 정말 지금이 아니면 안돼 아직 아무것도 해본 게 없잖아 We roll (We roll) We roll (We roll) We roll Everybody say NO! 좋은 집 좋은 차 그런 게 행복일 수 있을까? In Seoul to the SKY, 부모님은 정말 행복해질까? 놀고 먹고 싶어 교복 찢고 싶어 Make money good money 벌써 삐딱한 시선 막연함뿐인 통장, 내 불행은 한도초과지 공부하는 한숨 공장, 계속되는 돌려막기 어른들이 하는 고백 너넨 참 편한 거래 분에 넘치게 행복한 거래 그럼 이렇게도 불행한 나는 뭔데 공부 외엔 대화주제가 없어 밖엔 나 같은 애가 넘쳐 똑같은 꼭두각시 인생 도대체 누가 책임져줘? 어른들은 내게 말하지 힘든 건 지금뿐이라고 조금 더 참으라고 나중에 하라고 Everybody say NO! 더는 나중이란 말로 안돼 더는 남의 꿈에 갇혀 살지마 We roll (We roll) We roll (We roll) We roll Everybody say NO! 정말 지금이 아니면 안돼 아직 아무것도 해본 게 없잖아 We roll (We roll) We roll (We roll) We roll Everybody say NO! Everybody say NO! Everybody say NO! Everybody say NO! (break) Everybody say NO!",
방탄소년단,"O!RUL8,2?",We On,2013,"RM,j-hope,SUGA,PDOGG","Whatever they say Im here for my muzik here for my muzik, here for my muzik Whatever ma haters say im real for my muzik real for my muzik, real for my muzik 런치란다와 랩몬, 모두 나의 일부 또래 랩퍼 지망생들의 질투 어차피 니들은 보고 싶은 것만 보지 멍청한 어린 꼰대들 가방끈이 짧아, 7부 니가 귀염을 토할 때 난 기염을 토해 열등감에 찬 저 모두까기 인형들 또 내 선글라스, 내 헤어스타일, 내 이름 모두를 까내리지 현실찐따들의 비극적인 코미디 숨이 턱턱 막히게 널 덮쳐버리는 내 랩 좀 텁텁하고 섭섭해하던 널 단번에 벙쪄버리게 해 이렇게 뻑뻑한 가요계가 싫다면서 벅벅 머리 긁는 애들의 척 척, I know you 썩썩 Damn 팬, 대중, 매니아 yeah im makin' em mine 빅힛과 방탄소년단 yeah im makin' em shine 이름값을 해낼 훌리건, 바란 적 없어 홀인원 Yeah i wanna be the one, 넘버원이 아닌 only one, Swag 난 널 몰라 또 넌 날 몰라 제발 닥쳐주겠니 나는 걱정 마, 좋아 너보다 앞으로도 그럴 테지 예전부터 날 무시했던 친구들 다 어디 있어 we on 이건 장난 같은 게 아냐 보여줄게 i promise ya, we on (Gimme dat, real fact) 보여줄게 i promise ya, we on (Gimme dat, real fact) 보여줄게 i promise ya, we on Whatever they say im here for my muzik here for my muzik, here for my muzik Whatever ma haters say im real for my muzik real for my muzik, real for my muzik Oh oh my haters 좀 더 욕해줘 키보드 워리어, 노력해 좀 그래 그렇게 무시해줘 니가 틀렸단 걸 증명하는 게 취미에요 Uh 논란되는 실력, 날 속단하긴 일러 i'm killa 잭 더 리퍼 날 세운 혀로 널 찔러 i'm illa 난 게을러도 너보다는 바빠, 찔려? 데뷔 전 무시하던 hater 힙부심 가득한 너는 이젠 내 밑에 있어 잘봐라 나는 메이저 부럽지 hey chaser 내가 보기엔 따라오기엔 벅차, 그냥 거기 있어 내 손으로 직접 내린 이 가사는 핸드드립 연습생 졸업했지, celebrate 난 랩 블랙벨트, 너흰 그냥 그린벨트 발전이 없어 hey guys 좀 더 열폭을 해 난 널 몰라 또 넌 날 몰라 제발 닥쳐주겠니 나는 걱정 마, 좋아 너보다 앞으로도 그럴 테지 예전부터 날 무시했던 친구들 다 어디 있어 we on 이건 장난 같은 게 아냐 보여줄게 i promise ya, we on (Gimme dat, real fact) 보여줄게 i promise ya, we on (Gimme dat, real fact) 보여줄게 i promise ya, we on 2 COOL 4 SKOOL 활동은 기립박수 이건 코웃음 치던 애들에게 던지는 한 수 ＂축하해＂ 퍽이나 인맥을 위한 고정멘트 그런 거라면 니 ＂감＂은 썩었어, 도려내 Uh 이젠 급이 달라진 놈, he knows and she knows 모두의 관심대상 1호, 감탄은 일러 지켜봐 내 미래 니가 무시한 만큼 난 성공의 길로 진행 난 널 몰라 또 넌 날 몰라 제발 닥쳐주겠니 나는 걱정 마, 좋아 너보다 앞으로도 그럴 테지 예전부터 날 무시했던 친구들 다 어디 있어 we on 이건 장난 같은 게 아냐 보여줄게 i promise ya, we on (Gimme dat, real fact) 보여줄게 i promise ya, we on (Gimme dat, real fact) 보여줄게 i promise ya, we on Whatever they say im here for my muzik here for my muzik, here for my muzik Whatever ma haters say im real for my muzik real for my muzik, real for my muzik",
방탄소년단,"O!RUL8,2?",Skit : R U Happy Now?,2013,,"어디야 여기 쟨 차에 타자마자 자냐 몇 시야 몇 시 지금 6시 30분 정도 됐어요 다왔겠네 거의 다 왔네 아이 자고 싶은데 한숨도 못 잤어요 진짜 우리 휴게소 안 들, 안 들러요? 내가 아까 그렇게 사정사정 했는데 6시 30분인데 들를 수가 있냐 아냐 근데 들러야 돼 지금 방광이 터질 것 같아 화장실 너무 급해 진짜 방광 폭발 직전 아까 대구 팬 사인회에서 화장실을 못 들러가지고 지금 죽을 것 같다 참아요 참아야해 다들 방광 괜찮아? Are you okay? I'm Okay. 지금 노크하는 거야? 내 방광에? 내 방광에 왜 노크를 하니 아니 괜찮은지 검사하고 싶어가지고 아이 자다가 잠이 다 깨네 다 와 가니까 뭐 대전 팬사 진짜 기대된다 너네들의 방광을 더 쫄깃하게 해 줄까 이따가 팬 사인회 끝나고 안무 해야 돼 안무 아악! 쫄깃해 어우 쫄깃해 더 쫄깃하게, 가사 써야 돼 더블 더블 콤보 비트 받았어? 비트? 그거 왔나? 뭐 하나 왔긴 했는데 PD 님한테 나 들어봤는데 좋아 이거 저도 들었던 건데 근데 처음 들을 땐 좋아 근데 완전 우리 올드스쿨인데? 내가 두 시간 동안 들었거든? 가사가 안 나와 어떡해요 아 가사쓰기 싫어진다 괜찮은데요? 언제 쓰냐 아 큰일 났다 뷔야 시끄러워 미안 그보다 정국이 코 좀 막아주면 안 되니 와 진짜 요즘 왜 이렇게 고냐 얘 진짜 내가 저 심정을 잘 알어.힘들지? 부럽다 어리다 진짜 좀 몸이 피곤하죠 못 자니까 힘들긴 하지 요즘 아 그래도 뭐 힘들어도 이게 행복한 거 아닌가? 그렇지 뭐 행복하지 아 행복하다 근데 솔직히 좀 행복해 팬들 보러 가자 행복하죠 그래 언제 이런걸 해보겠어 연습생 때 꿈꿔 오던 게 이런 거잖아 아무래도 행복하지 바쁜 게 행복한 거야 당연하죠 짱짱 정국이 깼냐 어, 휴게소다 일어나 인마 휴게소 휴게소 오니까 깨고 있네 오 얼굴, 얼굴 부었어 쟨 또 얼굴 부었어 완전 부었어 좀 있다 팬사야 인마",
