형태소,품사,가수,카운트
"
",Foreign,레드벨벳,2
!,Punctuation,2NE1,20
!,Punctuation,BLACKPINK,1
!,Punctuation,TWICE,69
!,Punctuation,동방신기,30
!,Punctuation,동방신기(TVXQ!),65
!,Punctuation,레드벨벳,137
!,Punctuation,방탄소년단,179
!,Punctuation,빅뱅,73
!,Punctuation,세븐틴,38
!,Punctuation,소녀시대,217
!,Punctuation,슈퍼주니어,222
!,Punctuation,엑소,137
!,Punctuation,원더걸스,7
!!,Punctuation,동방신기,1
!!,Punctuation,동방신기(TVXQ!),1
!!,Punctuation,방탄소년단,9
!!,Punctuation,슈퍼주니어,13
!!!,Punctuation,슈퍼주니어,3
!!!!,Punctuation,방탄소년단,3
!!!!!,Punctuation,방탄소년단,1
"!""",Punctuation,방탄소년단,3
!',Punctuation,방탄소년단,1
!),Punctuation,2NE1,8
!),Punctuation,TWICE,8
!),Punctuation,동방신기,7
!),Punctuation,동방신기(TVXQ!),15
!),Punctuation,레드벨벳,31
!),Punctuation,방탄소년단,101
!),Punctuation,빅뱅,8
!),Punctuation,세븐틴,1
!),Punctuation,소녀시대,18
!),Punctuation,슈퍼주니어,22
!),Punctuation,엑소,25
!>,Punctuation,슈퍼주니어,1
"""",Punctuation,TWICE,2
"""",Punctuation,레드벨벳,7
"""",Punctuation,방탄소년단,7
"""",Punctuation,소녀시대,15
"""",Punctuation,슈퍼주니어,12
$,Punctuation,방탄소년단,2
"$,",Punctuation,세븐틴,1
$.,Punctuation,세븐틴,1
&,Punctuation,2NE1,3
&,Punctuation,TWICE,5
&,Punctuation,동방신기,14
&,Punctuation,동방신기(TVXQ!),1
&,Punctuation,레드벨벳,13
&,Punctuation,방탄소년단,28
&,Punctuation,빅뱅,17
&,Punctuation,세븐틴,11
&,Punctuation,소녀시대,15
&,Punctuation,슈퍼주니어,24
&,Punctuation,엑소,9
&,Punctuation,원더걸스,20
',Punctuation,2NE1,276
',Punctuation,BLACKPINK,45
',Punctuation,TWICE,371
',Punctuation,동방신기,94
',Punctuation,동방신기(TVXQ!),168
',Punctuation,레드벨벳,139
',Punctuation,방탄소년단,686
',Punctuation,빅뱅,211
',Punctuation,세븐틴,264
',Punctuation,소녀시대,176
',Punctuation,슈퍼주니어,384
',Punctuation,엑소,283
',Punctuation,원더걸스,130
'),Punctuation,엑소,2
(,Punctuation,2NE1,33
(,Punctuation,BLACKPINK,16
(,Punctuation,TWICE,115
(,Punctuation,동방신기,160
(,Punctuation,동방신기(TVXQ!),225
(,Punctuation,레드벨벳,298
(,Punctuation,방탄소년단,629
(,Punctuation,빅뱅,357
(,Punctuation,세븐틴,267
(,Punctuation,소녀시대,382
(,Punctuation,슈퍼주니어,524
(,Punctuation,엑소,543
(,Punctuation,원더걸스,119
(&),Punctuation,소녀시대,1
(**,Punctuation,슈퍼주니어,3
([,Punctuation,동방신기,9
([,Punctuation,슈퍼주니어,6
),Punctuation,2NE1,24
